"Per Pupil Expenditures by Function (District), 2019-20"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$7,986,442",1110,1,"$7,195"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,293,861",1110,2,"$1,166"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$159,263",1110,2,"$143"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1110,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$2,267,950",1110,2,"$2,043"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,330,209",1110,2,"$1,198"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$559,350",1110,2,"$504"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$228,365",69,3,"$3,310"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1110,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1110,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$13,825,439",1110,1,"$12,455"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,600,264",1169,1,"$8,212"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,732,023",1169,2,"$1,482"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$421,562",1169,2,"$361"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",1169,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$2,743,564",1169,2,"$2,347"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$1,627,247",1169,2,"$1,392"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$19,653",1169,2,"$17"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$12,922",20,3,"$646"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",1169,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",1169,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,157,235",1169,1,"$13,821"
"Amistad Academy District","=""2790013""","Instruction","$7,295,730",1103,1,"$6,614"
"Amistad Academy District","=""2790013""","Support services - students","$1,432,715",1103,2,"$1,299"
"Amistad Academy District","=""2790013""","Support services - instruction","$221,223",1103,2,"$201"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1103,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$2,386,146",1103,2,"$2,163"
"Amistad Academy District","=""2790013""","Central and other support services","$1,335,564",1103,2,"$1,211"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$539,603",1103,2,"$489"
"Amistad Academy District","=""2790013""","Student transportation services","$164,298",79,3,"$2,080"
"Amistad Academy District","=""2790013""","Food services","$0",1103,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1103,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","N/A","N/A","N/A","N/A"
"Amistad Academy District","=""2790013""","Total","$13,375,278",1103,1,"$12,126"
"Andover School District","=""0010011""","Instruction","$2,630,458",198,1,"$13,285"
"Andover School District","=""0010011""","Support services - students","$235,570",195,2,"$1,208"
"Andover School District","=""0010011""","Support services - instruction","$322,089",195,2,"$1,652"
"Andover School District","=""0010011""","Support services - general administration","$160,264",195,2,"$822"
"Andover School District","=""0010011""","Support services - school based administration","$234,528",195,2,"$1,203"
"Andover School District","=""0010011""","Central and other support services","$239,007",195,2,"$1,226"
"Andover School District","=""0010011""","Operation and maintenance of plant","$478,707",195,2,"$2,455"
"Andover School District","=""0010011""","Student transportation services","$148,036",154,3,"$961"
"Andover School District","=""0010011""","Food services","$0",195,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$56,212",195,2,"$288"
