"Per Pupil Expenditures by Function (District), 2024-25"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$9,234,243",1090,1,"$8,472"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,716,047",1090,2,"$1,574"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$386,590",1090,2,"$355"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1090,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$2,212,802",1090,2,"$2,030"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,993,386",1090,2,"$1,829"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$775,120",1090,2,"$711"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$347,054",485,3,"$716"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1090,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1090,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$16,665,242",1090,1,"$15,289"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,268,062",907,1,"$10,218"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,784,649",907,2,"$1,968"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$205,151",907,2,"$226"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$0",907,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$2,645,110",907,2,"$2,916"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$2,527,404",907,2,"$2,787"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$23,567",907,2,"$26"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$48,672",907,3,"$54"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",907,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",907,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,502,615",907,1,"$18,195"
"Amistad Academy District","=""2790013""","Instruction","$9,735,680",1105,1,"$8,811"
"Amistad Academy District","=""2790013""","Support services - students","$1,384,126",1105,2,"$1,253"
"Amistad Academy District","=""2790013""","Support services - instruction","$266,963",1105,2,"$242"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1105,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$2,308,700",1105,2,"$2,089"
"Amistad Academy District","=""2790013""","Central and other support services","$1,785,724",1105,2,"$1,616"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$1,030,266",1105,2,"$932"
"Amistad Academy District","=""2790013""","Student transportation services","$324,071",1200,3,"$270"
"Amistad Academy District","=""2790013""","Food services","$0",1105,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1105,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","N/A","N/A","N/A","N/A"
"Amistad Academy District","=""2790013""","Total","$16,835,531",1105,1,"$15,236"
"Andover School District","=""0010011""","Instruction","$2,790,585",241,1,"$11,579"
"Andover School District","=""0010011""","Support services - students","$286,620",239,2,"$1,199"
"Andover School District","=""0010011""","Support services - instruction","$230,979",239,2,"$966"
"Andover School District","=""0010011""","Support services - general administration","$173,815",239,2,"$727"
"Andover School District","=""0010011""","Support services - school based administration","$243,395",239,2,"$1,018"
"Andover School District","=""0010011""","Central and other support services","$140,161",239,2,"$586"
"Andover School District","=""0010011""","Operation and maintenance of plant","$570,077",239,2,"$2,385"
"Andover School District","=""0010011""","Student transportation services","$142,266",180,3,"$790"
"Andover School District","=""0010011""","Food services","$0",239,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$3,165",239,2,"$13"
"Andover School District","=""0010011""","Minor school construction","N/A","N/A","N/A","N/A"
"Andover School District","=""0010011""","Total","$4,581,062",241,1,"$19,009"
"Ansonia School District","=""0020011""","Instruction","$34,540,115",2584,1,"$13,367"
"Ansonia School District","=""0020011""","Support services - students","$2,731,381",2387,2,"$1,144"
"Ansonia School District","=""0020011""","Support services - instruction","$87,798",2387,2,"$37"
"Ansonia School District","=""0020011""","Support services - general administration","$1,960,720",2387,2,"$821"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,975,359",2387,2,"$1,246"
"Ansonia School District","=""0020011""","Central and other support services","$1,590,651",2387,2,"$666"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$4,531,329",2387,2,"$1,898"
"Ansonia School District","=""0020011""","Student transportation services","$3,219,078",2475,3,"$1,301"
"Ansonia School District","=""0020011""","Food services","$0",2387,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$525,760",2387,2,"$220"
"Ansonia School District","=""0020011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Total","$52,162,191",2584,1,"$20,187"
"Area Cooperative Educational Services","=""2440014""","Instruction","$48,348,957",2006,1,"$24,102"
"Area Cooperative Educational Services","=""2440014""","Support services - students","$20,638,679",2006,2,"$10,288"
"Area Cooperative Educational Services","=""2440014""","Support services - instruction","$2,198,933",2006,2,"$1,096"
"Area Cooperative Educational Services","=""2440014""","Support services - general administration","$5,866,305",2006,2,"$2,924"
"Area Cooperative Educational Services","=""2440014""","Support services - school based administration","$6,288,545",2006,2,"$3,135"
"Area Cooperative Educational Services","=""2440014""","Central and other support services","$9,985,559",2006,2,"$4,978"
"Area Cooperative Educational Services","=""2440014""","Operation and maintenance of plant","$13,223,979",2006,2,"$6,592"
"Area Cooperative Educational Services","=""2440014""","Student transportation services","$9,074,738",1901,3,"$4,774"
"Area Cooperative Educational Services","=""2440014""","Food services","$0",2006,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Enterprise operations","$0",2006,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Minor school construction","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Total","$115,625,694",2006,1,"$57,640"
"Ashford School District","=""0030011""","Instruction","$5,647,931",354,1,"$15,955"
"Ashford School District","=""0030011""","Support services - students","$692,535",351,2,"$1,973"
"Ashford School District","=""0030011""","Support services - instruction","$238,554",351,2,"$680"
"Ashford School District","=""0030011""","Support services - general administration","$212,548",351,2,"$606"
"Ashford School District","=""0030011""","Support services - school based administration","$710,674",351,2,"$2,025"
"Ashford School District","=""0030011""","Central and other support services","$479,892",351,2,"$1,367"
"Ashford School District","=""0030011""","Operation and maintenance of plant","$808,135",351,2,"$2,302"
"Ashford School District","=""0030011""","Student transportation services","$504,698",351,3,"$1,438"
"Ashford School District","=""0030011""","Food services","$104,090",351,2,"$297"
"Ashford School District","=""0030011""","Enterprise operations","$0",351,2,"$0"
"Ashford School District","=""0030011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ashford School District","=""0030011""","Total","$9,399,056",354,1,"$26,551"
"Avon School District","=""0040011""","Instruction","$46,096,078",3158,1,"$14,597"
"Avon School District","=""0040011""","Support services - students","$5,486,105",3066,2,"$1,789"
"Avon School District","=""0040011""","Support services - instruction","$1,049,300",3066,2,"$342"
"Avon School District","=""0040011""","Support services - general administration","$1,350,459",3066,2,"$440"
"Avon School District","=""0040011""","Support services - school based administration","$3,166,964",3066,2,"$1,033"
"Avon School District","=""0040011""","Central and other support services","$3,012,676",3066,2,"$983"
"Avon School District","=""0040011""","Operation and maintenance of plant","$5,996,706",3066,2,"$1,956"
"Avon School District","=""0040011""","Student transportation services","$3,652,088",2877,3,"$1,269"
"Avon School District","=""0040011""","Food services","$0",3066,2,"$0"
"Avon School District","=""0040011""","Enterprise operations","$1,463,151",3066,2,"$477"
"Avon School District","=""0040011""","Minor school construction","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Total","$71,273,526",3158,1,"$22,569"
"Barkhamsted School District","=""0050011""","Instruction","$2,998,742",229,1,"$13,095"
"Barkhamsted School District","=""0050011""","Support services - students","$76,876",227,2,"$339"
"Barkhamsted School District","=""0050011""","Support services - instruction","$435,583",227,2,"$1,919"
"Barkhamsted School District","=""0050011""","Support services - general administration","$271,099",227,2,"$1,194"
"Barkhamsted School District","=""0050011""","Support services - school based administration","$294,425",227,2,"$1,297"
"Barkhamsted School District","=""0050011""","Central and other support services","$104,907",227,2,"$462"
"Barkhamsted School District","=""0050011""","Operation and maintenance of plant","$477,013",227,2,"$2,101"
"Barkhamsted School District","=""0050011""","Student transportation services","$332,567",205,3,"$1,622"
"Barkhamsted School District","=""0050011""","Food services","$14,726",227,2,"$65"
"Barkhamsted School District","=""0050011""","Enterprise operations","$0",227,2,"$0"
"Barkhamsted School District","=""0050011""","Minor school construction","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Total","$5,005,939",229,1,"$21,860"
"Berlin School District","=""0070011""","Instruction","$39,104,716",2681,1,"$14,586"
"Berlin School District","=""0070011""","Support services - students","$3,817,681",2614,2,"$1,460"
"Berlin School District","=""0070011""","Support services - instruction","$1,715,984",2614,2,"$656"
"Berlin School District","=""0070011""","Support services - general administration","$732,087",2614,2,"$280"
"Berlin School District","=""0070011""","Support services - school based administration","$2,997,481",2614,2,"$1,147"
"Berlin School District","=""0070011""","Central and other support services","$6,755,563",2614,2,"$2,584"
"Berlin School District","=""0070011""","Operation and maintenance of plant","$3,093,463",2614,2,"$1,183"
"Berlin School District","=""0070011""","Student transportation services","$3,750,111",2369,3,"$1,583"
"Berlin School District","=""0070011""","Food services","$0",2614,2,"$0"
"Berlin School District","=""0070011""","Enterprise operations","$980,680",2614,2,"$375"
"Berlin School District","=""0070011""","Minor school construction","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Total","$62,947,766",2681,1,"$23,479"
"Bethany School District","=""0080011""","Instruction","$5,452,638",432,1,"$12,622"
"Bethany School District","=""0080011""","Support services - students","$501,498",430,2,"$1,166"
"Bethany School District","=""0080011""","Support services - instruction","$137,543",430,2,"$320"
"Bethany School District","=""0080011""","Support services - general administration","$776,705",430,2,"$1,806"
"Bethany School District","=""0080011""","Support services - school based administration","$468,999",430,2,"$1,091"
"Bethany School District","=""0080011""","Central and other support services","$1,999",430,2,"$5"
"Bethany School District","=""0080011""","Operation and maintenance of plant","$795,546",430,2,"$1,850"
"Bethany School District","=""0080011""","Student transportation services","$445,956",403,3,"$1,107"
"Bethany School District","=""0080011""","Food services","$0",430,2,"$0"
"Bethany School District","=""0080011""","Enterprise operations","$32,087",430,2,"$75"
"Bethany School District","=""0080011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bethany School District","=""0080011""","Total","$8,612,972",432,1,"$19,937"
"Bethel School District","=""0090011""","Instruction","$38,267,907",3255,1,"$11,757"
"Bethel School District","=""0090011""","Support services - students","$4,271,645",3214,2,"$1,329"
"Bethel School District","=""0090011""","Support services - instruction","$4,379,082",3214,2,"$1,363"
"Bethel School District","=""0090011""","Support services - general administration","$627,835",3214,2,"$195"
"Bethel School District","=""0090011""","Support services - school based administration","$3,096,610",3214,2,"$963"
"Bethel School District","=""0090011""","Central and other support services","$2,679,754",3214,2,"$834"
"Bethel School District","=""0090011""","Operation and maintenance of plant","$4,987,829",3214,2,"$1,552"
"Bethel School District","=""0090011""","Student transportation services","$3,836,257",3297,3,"$1,164"
"Bethel School District","=""0090011""","Food services","$0",3214,2,"$0"
"Bethel School District","=""0090011""","Enterprise operations","$0",3214,2,"$0"
"Bethel School District","=""0090011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bethel School District","=""0090011""","Total","$62,146,919",3255,1,"$19,093"
"Bloomfield School District","=""0110011""","Instruction","$41,034,569",2655,1,"$15,456"
