District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2017,Math,36.0,34.0,94.4,34.0,23.5,471.0
Achievement First Hartford Academy District,2017,Math,39.0,39.0,100.0,38.0,,494.0
Amistad Academy District,2017,Math,50.0,48.0,96.0,47.0,19.1,467.0
Ansonia School District,2017,Math,134.0,127.0,94.8,126.0,16.7,444.0
Area Cooperative Educational Services,2017,Math,18.0,15.0,,13.0,,
Avon School District,2017,Math,285.0,282.0,98.9,282.0,79.1,611.0
Berlin School District,2017,Math,218.0,216.0,99.1,216.0,45.4,523.0
Bethel School District,2017,Math,199.0,194.0,97.5,194.0,47.9,526.0
Bloomfield School District,2017,Math,160.0,154.0,96.3,154.0,14.9,450.0
Bolton School District,2017,Math,79.0,79.0,100.0,79.0,49.4,521.0
Branford School District,2017,Math,219.0,215.0,98.2,215.0,42.8,508.0
Bridgeport School District,2017,Math,1247.0,1144.0,91.7,1137.0,15.9,431.0
Bristol School District,2017,Math,564.0,552.0,97.9,551.0,31.0,484.0
Brookfield School District,2017,Math,214.0,207.0,96.7,207.0,59.9,554.0
Brooklyn School District,2017,Math,,,,,,
Canton School District,2017,Math,118.0,115.0,97.5,115.0,67.8,572.0
Capital Preparatory Harbor School District,2017,Math,33.0,33.0,100.0,33.0,,419.0
Capitol Region Education Council,2017,Math,569.0,550.0,96.7,549.0,22.8,465.0
Cheshire School District,2017,Math,338.0,326.0,96.4,324.0,64.8,563.0
Clinton School District,2017,Math,127.0,124.0,97.6,123.0,42.3,505.0
Colchester School District,2017,Math,221.0,218.0,98.6,218.0,55.0,530.0
Common Ground High School District,2017,Math,43.0,43.0,100.0,43.0,23.3,462.0
Connecticut Technical Education and Career System,2017,Math,2491.0,2481.0,99.6,2478.0,14.3,452.0
Cooperative Educational Services,2017,Math,16.0,15.0,,15.0,,
Coventry School District,2017,Math,120.0,115.0,95.8,115.0,55.7,532.0
Cromwell School District,2017,Math,151.0,149.0,98.7,149.0,52.3,528.0
Danbury School District,2017,Math,695.0,675.0,97.1,671.0,25.0,466.0
Darien School District,2017,Math,339.0,325.0,95.9,324.0,85.8,633.0
Derby School District,2017,Math,83.0,82.0,98.8,81.0,27.2,470.0
East Granby School District,2017,Math,58.0,56.0,96.6,56.0,,547.0
East Haddam School District,2017,Math,83.0,80.0,96.4,80.0,27.5,474.0
East Hampton School District,2017,Math,107.0,106.0,99.1,106.0,43.4,516.0
East Hartford School District,2017,Math,470.0,442.0,94.0,433.0,24.9,458.0
East Haven School District,2017,Math,228.0,217.0,95.2,217.0,18.4,461.0
East Lyme School District,2017,Math,281.0,274.0,97.5,274.0,56.9,554.0
East Windsor School District,2017,Math,89.0,87.0,97.8,87.0,,488.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2017,Math,82.0,75.0,91.5,75.0,8.0,429.0
EdAdvance,2017,Math,,0.0,,0.0,,
Ellington School District,2017,Math,175.0,174.0,99.4,173.0,50.9,532.0
Elm City College Preparatory School District,2017,Math,29.0,29.0,100.0,29.0,,498.0
Enfield School District,2017,Math,350.0,342.0,97.7,342.0,37.1,501.0
Explorations District,2017,Math,22.0,21.0,95.5,21.0,,458.0
Fairfield School District,2017,Math,778.0,759.0,97.6,759.0,62.5,558.0
Farmington School District,2017,Math,290.0,287.0,99.0,286.0,66.8,577.0
Glastonbury School District,2017,Math,490.0,480.0,98.0,478.0,74.7,595.0
Granby School District,2017,Math,156.0,152.0,97.4,152.0,69.1,571.0
Greenwich School District,2017,Math,617.0,598.0,96.9,597.0,62.1,570.0
Griswold School District,2017,Math,146.0,139.0,95.2,139.0,,495.0
