"Per Pupil Expenditures by Function (District), 2021-22"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Instruction","$8,684,208",1105,1,"$7,859"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - students","$1,832,539",1105,2,"$1,658"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - instruction","$407,051",1105,2,"$368"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - general administration","$0",1105,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Support services - school based administration","$2,372,751",1105,2,"$2,147"
"Achievement First Bridgeport Academy District","=""2850013""","Central and other support services","$1,494,138",1105,2,"$1,352"
"Achievement First Bridgeport Academy District","=""2850013""","Operation and maintenance of plant","$815,368",1105,2,"$738"
"Achievement First Bridgeport Academy District","=""2850013""","Student transportation services","$233,347",434,3,"$538"
"Achievement First Bridgeport Academy District","=""2850013""","Food services","$0",1105,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Enterprise operations","$0",1105,2,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$15,839,402",1105,1,"$14,334"
"Achievement First Hartford Academy District","=""2880013""","Instruction","$9,957,297",1123,1,"$8,867"
"Achievement First Hartford Academy District","=""2880013""","Support services - students","$1,867,803",1123,2,"$1,663"
"Achievement First Hartford Academy District","=""2880013""","Support services - instruction","$330,174",1123,2,"$294"
"Achievement First Hartford Academy District","=""2880013""","Support services - general administration","$417",1123,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Support services - school based administration","$2,931,933",1123,2,"$2,611"
"Achievement First Hartford Academy District","=""2880013""","Central and other support services","$1,716,824",1123,2,"$1,529"
"Achievement First Hartford Academy District","=""2880013""","Operation and maintenance of plant","$146,352",1123,2,"$130"
"Achievement First Hartford Academy District","=""2880013""","Student transportation services","$223",10,3,"$22"
"Achievement First Hartford Academy District","=""2880013""","Food services","$0",1123,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Enterprise operations","$0",1123,2,"$0"
"Achievement First Hartford Academy District","=""2880013""","Minor school construction","N/A","N/A","N/A","N/A"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,951,023",1123,1,"$15,094"
"Amistad Academy District","=""2790013""","Instruction","$8,804,215",1115,1,"$7,896"
"Amistad Academy District","=""2790013""","Support services - students","$2,020,467",1115,2,"$1,812"
"Amistad Academy District","=""2790013""","Support services - instruction","$678,348",1115,2,"$608"
"Amistad Academy District","=""2790013""","Support services - general administration","$0",1115,2,"$0"
"Amistad Academy District","=""2790013""","Support services - school based administration","$2,493,009",1115,2,"$2,236"
"Amistad Academy District","=""2790013""","Central and other support services","$1,603,495",1115,2,"$1,438"
"Amistad Academy District","=""2790013""","Operation and maintenance of plant","$773,276",1115,2,"$694"
"Amistad Academy District","=""2790013""","Student transportation services","$241,859",1202,3,"$201"
"Amistad Academy District","=""2790013""","Food services","$0",1115,2,"$0"
"Amistad Academy District","=""2790013""","Enterprise operations","$0",1115,2,"$0"
"Amistad Academy District","=""2790013""","Minor school construction","N/A","N/A","N/A","N/A"
"Amistad Academy District","=""2790013""","Total","$16,614,669",1115,1,"$14,901"
"Andover School District","=""0010011""","Instruction","$2,905,560",196,1,"$14,824"
"Andover School District","=""0010011""","Support services - students","$199,239",191,2,"$1,043"
"Andover School District","=""0010011""","Support services - instruction","$201,454",191,2,"$1,055"
"Andover School District","=""0010011""","Support services - general administration","$141,335",191,2,"$740"
"Andover School District","=""0010011""","Support services - school based administration","$239,631",191,2,"$1,255"
"Andover School District","=""0010011""","Central and other support services","$168,820",191,2,"$884"
"Andover School District","=""0010011""","Operation and maintenance of plant","$435,172",191,2,"$2,278"
"Andover School District","=""0010011""","Student transportation services","$121,420",162,3,"$750"
"Andover School District","=""0010011""","Food services","$0",191,2,"$0"
"Andover School District","=""0010011""","Enterprise operations","$2,350",191,2,"$12"
"Andover School District","=""0010011""","Minor school construction","N/A","N/A","N/A","N/A"
"Andover School District","=""0010011""","Total","$4,414,982",196,1,"$22,525"
"Ansonia School District","=""0020011""","Instruction","$31,146,748",2456,1,"$12,682"
"Ansonia School District","=""0020011""","Support services - students","$2,008,182",2247,2,"$894"
"Ansonia School District","=""0020011""","Support services - instruction","$99,828",2247,2,"$44"
"Ansonia School District","=""0020011""","Support services - general administration","$1,252,124",2247,2,"$557"
"Ansonia School District","=""0020011""","Support services - school based administration","$2,056,265",2247,2,"$915"
"Ansonia School District","=""0020011""","Central and other support services","$1,672,657",2247,2,"$744"
"Ansonia School District","=""0020011""","Operation and maintenance of plant","$3,832,123",2247,2,"$1,705"
"Ansonia School District","=""0020011""","Student transportation services","$2,563,799",2369,3,"$1,082"
"Ansonia School District","=""0020011""","Food services","$0",2247,2,"$0"
"Ansonia School District","=""0020011""","Enterprise operations","$265,739",2247,2,"$118"
"Ansonia School District","=""0020011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Total","$44,897,466",2456,1,"$18,281"
"Area Cooperative Educational Services","=""2440014""","Instruction","$42,733,748",2116,1,"$20,196"
"Area Cooperative Educational Services","=""2440014""","Support services - students","$17,655,288",2116,2,"$8,344"
"Area Cooperative Educational Services","=""2440014""","Support services - instruction","$1,878,502",2116,2,"$888"
"Area Cooperative Educational Services","=""2440014""","Support services - general administration","$4,042,176",2116,2,"$1,910"
"Area Cooperative Educational Services","=""2440014""","Support services - school based administration","$4,526,065",2116,2,"$2,139"
"Area Cooperative Educational Services","=""2440014""","Central and other support services","$7,114,257",2116,2,"$3,362"
"Area Cooperative Educational Services","=""2440014""","Operation and maintenance of plant","$9,216,512",2116,2,"$4,356"
"Area Cooperative Educational Services","=""2440014""","Student transportation services","$7,679,985",2121,3,"$3,621"
"Area Cooperative Educational Services","=""2440014""","Food services","$0",2116,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Enterprise operations","$0",2116,2,"$0"
"Area Cooperative Educational Services","=""2440014""","Minor school construction","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Total","$94,846,533",2116,1,"$44,824"
"Ashford School District","=""0030011""","Instruction","$5,076,196",386,1,"$13,151"
"Ashford School District","=""0030011""","Support services - students","$496,109",381,2,"$1,302"
"Ashford School District","=""0030011""","Support services - instruction","$291,947",381,2,"$766"
"Ashford School District","=""0030011""","Support services - general administration","$561,511",381,2,"$1,474"
"Ashford School District","=""0030011""","Support services - school based administration","$430,102",381,2,"$1,129"
"Ashford School District","=""0030011""","Central and other support services","$571,750",381,2,"$1,501"
"Ashford School District","=""0030011""","Operation and maintenance of plant","$702,338",381,2,"$1,843"
"Ashford School District","=""0030011""","Student transportation services","$501,573",381,3,"$1,316"
"Ashford School District","=""0030011""","Food services","$0",381,2,"$0"
"Ashford School District","=""0030011""","Enterprise operations","$0",381,2,"$0"
"Ashford School District","=""0030011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ashford School District","=""0030011""","Total","$8,631,527",386,1,"$22,361"
"Avon School District","=""0040011""","Instruction","$42,123,867",3210,1,"$13,123"
"Avon School District","=""0040011""","Support services - students","$4,378,687",3108,2,"$1,409"
"Avon School District","=""0040011""","Support services - instruction","$1,073,665",3108,2,"$345"
"Avon School District","=""0040011""","Support services - general administration","$1,285,275",3108,2,"$414"
"Avon School District","=""0040011""","Support services - school based administration","$3,027,119",3108,2,"$974"
"Avon School District","=""0040011""","Central and other support services","$3,220,504",3108,2,"$1,036"
"Avon School District","=""0040011""","Operation and maintenance of plant","$5,141,598",3108,2,"$1,654"
"Avon School District","=""0040011""","Student transportation services","$3,123,087",2990,3,"$1,045"
"Avon School District","=""0040011""","Food services","$0",3108,2,"$0"
"Avon School District","=""0040011""","Enterprise operations","$1,287,659",3108,2,"$414"
"Avon School District","=""0040011""","Minor school construction","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Total","$64,661,463",3210,1,"$20,144"
"Barkhamsted School District","=""0050011""","Instruction","$3,009,408",212,1,"$14,195"
"Barkhamsted School District","=""0050011""","Support services - students","$147,132",207,2,"$711"
"Barkhamsted School District","=""0050011""","Support services - instruction","$301,359",207,2,"$1,456"
"Barkhamsted School District","=""0050011""","Support services - general administration","$211,397",207,2,"$1,021"
"Barkhamsted School District","=""0050011""","Support services - school based administration","$263,703",207,2,"$1,274"
"Barkhamsted School District","=""0050011""","Central and other support services","$99,730",207,2,"$482"
"Barkhamsted School District","=""0050011""","Operation and maintenance of plant","$393,777",207,2,"$1,902"
"Barkhamsted School District","=""0050011""","Student transportation services","$317,824",187,3,"$1,700"
"Barkhamsted School District","=""0050011""","Food services","$4,613",207,2,"$22"
"Barkhamsted School District","=""0050011""","Enterprise operations","$0",207,2,"$0"
"Barkhamsted School District","=""0050011""","Minor school construction","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Total","$4,748,943",212,1,"$22,401"
"Berlin School District","=""0070011""","Instruction","$36,426,602",2738,1,"$13,304"
"Berlin School District","=""0070011""","Support services - students","$2,829,298",2642,2,"$1,071"
"Berlin School District","=""0070011""","Support services - instruction","$1,454,103",2642,2,"$550"
"Berlin School District","=""0070011""","Support services - general administration","$852,825",2642,2,"$323"
"Berlin School District","=""0070011""","Support services - school based administration","$2,407,573",2642,2,"$911"
"Berlin School District","=""0070011""","Central and other support services","$6,473,493",2642,2,"$2,450"
"Berlin School District","=""0070011""","Operation and maintenance of plant","$2,700,239",2642,2,"$1,022"
"Berlin School District","=""0070011""","Student transportation services","$3,173,723",2343,3,"$1,355"
"Berlin School District","=""0070011""","Food services","$0",2642,2,"$0"
"Berlin School District","=""0070011""","Enterprise operations","$880,815",2642,2,"$333"
"Berlin School District","=""0070011""","Minor school construction","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Total","$57,198,671",2738,1,"$20,891"
"Bethany School District","=""0080011""","Instruction","$4,662,571",396,1,"$11,774"
"Bethany School District","=""0080011""","Support services - students","$405,465",388,2,"$1,045"
