"Per Pupil Expenditures by Object (District), 2018-19"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$7,635,720",1093,2,"$6,986"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,440,095",1093,2,"$1,318"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$3,941,526",1093,2,"$3,606"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$172,720",1093,2,"$158"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$177,741",1093,2,"$163"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$20,034",1093,2,"$18"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$13,387,835",1093,1,"$12,249"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$10,136,319",1112,2,"$9,115"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,867,529",1112,2,"$1,679"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$3,011,032",1112,2,"$2,708"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$217,355",1112,2,"$195"
"Achievement First Hartford Academy District","=""2880013""","Property","$169,473",1112,2,"$152"
"Achievement First Hartford Academy District","=""2880013""","Other","$18,961",1112,2,"$17"
"Achievement First Hartford Academy District","=""2880013""","Total","$15,420,669",1112,1,"$13,868"
"Amistad Academy District","=""2790013""","Salaries","$7,719,306",1083,2,"$7,128"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,551,121",1083,2,"$1,432"
"Amistad Academy District","=""2790013""","Purchased Services","$3,657,438",1083,2,"$3,377"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$175,996",1083,2,"$163"
"Amistad Academy District","=""2790013""","Property","$148,312",1083,2,"$137"
"Amistad Academy District","=""2790013""","Other","$14,253",1083,2,"$13"
"Amistad Academy District","=""2790013""","Total","$13,266,425",1083,1,"$12,250"
"Andover School District","=""0010011""","Salaries","$2,548,576",191,2,"$13,343"
"Andover School District","=""0010011""","Employee Benefits","$763,786",191,2,"$3,999"
"Andover School District","=""0010011""","Purchased Services","$832,826",191,2,"$4,360"
"Andover School District","=""0010011""","Supplies","$269,079",191,2,"$1,409"
"Andover School District","=""0010011""","Property","$29,064",191,2,"$152"
"Andover School District","=""0010011""","Other � Includes Tuition","$29,055",195,1,"$149"
"Andover School District","=""0010011""","Total","$4,472,386",195,1,"$22,935"
"Ansonia School District","=""0020011""","Salaries","$18,874,052",2305,2,"$8,188"
"Ansonia School District","=""0020011""","Employee Benefits","$5,453,490",2305,2,"$2,366"
"Ansonia School District","=""0020011""","Purchased Services","$7,532,820",2305,2,"$3,268"
"Ansonia School District","=""0020011""","Tuition","$4,639,719",233,4,"$19,913"
"Ansonia School District","=""0020011""","Supplies","$861,749",2305,2,"$374"
"Ansonia School District","=""0020011""","Property","$1,374,124",2305,2,"$596"
"Ansonia School District","=""0020011""","Other","$990,363",2305,2,"$430"
"Ansonia School District","=""0020011""","Total","$39,726,318",2538,1,"$15,653"
"Area Cooperative Educational Services","=""2440014""","Salaries","$47,470,738",2189,2,"$21,686"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$13,216,309",2189,2,"$6,038"
"Area Cooperative Educational Services","=""2440014""","Purchased Services","$9,652,796",2189,2,"$4,410"
"Area Cooperative Educational Services","=""2440014""","Tuition","$0",0,4,"$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$3,644,482",2189,2,"$1,665"
"Area Cooperative Educational Services","=""2440014""","Property","$719,384",2189,2,"$329"
"Area Cooperative Educational Services","=""2440014""","Other","$383,185",2189,2,"$175"
"Area Cooperative Educational Services","=""2440014""","Total","$75,086,894",2189,1,"$34,302"
"Ashford School District","=""0030011""","Salaries","$5,073,399",409,2,"$12,404"
"Ashford School District","=""0030011""","Employee Benefits","$1,538,303",409,2,"$3,761"
"Ashford School District","=""0030011""","Purchased Services","$572,651",409,2,"$1,400"
"Ashford School District","=""0030011""","Tuition","$289,807",9,4,"$32,201"
"Ashford School District","=""0030011""","Supplies","$421,724",409,2,"$1,031"
"Ashford School District","=""0030011""","Property","$215,973",409,2,"$528"
"Ashford School District","=""0030011""","Other","$18,229",409,2,"$45"
"Ashford School District","=""0030011""","Total","$8,130,085",418,1,"$19,450"
"Avon School District","=""0040011""","Salaries","$36,109,042",3138,2,"$11,507"
