"Per Pupil Expenditures by Object (District), 2021-22"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$9,060,248",1105,2,"$8,199"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,470,865",1105,2,"$1,331"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$4,591,959",1105,2,"$4,156"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$443,886",1105,2,"$402"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$248,111",1105,2,"$225"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$24,332",1105,2,"$22"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$15,839,402",1105,1,"$14,334"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$10,730,840",1123,2,"$9,556"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,761,215",1123,2,"$1,568"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$3,718,006",1123,2,"$3,311"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$424,884",1123,2,"$378"
"Achievement First Hartford Academy District","=""2880013""","Property","$286,593",1123,2,"$255"
"Achievement First Hartford Academy District","=""2880013""","Other","$29,485",1123,2,"$26"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,951,023",1123,1,"$15,094"
"Amistad Academy District","=""2790013""","Salaries","$9,540,478",1115,2,"$8,556"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,627,124",1115,2,"$1,459"
"Amistad Academy District","=""2790013""","Purchased Services","$4,431,983",1115,2,"$3,975"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$462,746",1115,2,"$415"
"Amistad Academy District","=""2790013""","Property","$527,631",1115,2,"$473"
"Amistad Academy District","=""2790013""","Other","$24,707",1115,2,"$22"
"Amistad Academy District","=""2790013""","Total","$16,614,669",1115,1,"$14,901"
"Andover School District","=""0010011""","Salaries","$2,599,465",191,2,"$13,610"
"Andover School District","=""0010011""","Employee Benefits","$816,606",191,2,"$4,275"
"Andover School District","=""0010011""","Purchased Services","$538,509",191,2,"$2,819"
"Andover School District","=""0010011""","Supplies","$222,423",191,2,"$1,165"
"Andover School District","=""0010011""","Property","$0",191,2,"$0"
"Andover School District","=""0010011""","Other � Includes Tuition","$237,979",196,1,"$1,214"
"Andover School District","=""0010011""","Total","$4,414,982",196,1,"$22,525"
"Ansonia School District","=""0020011""","Salaries","$22,318,296",2247,2,"$9,932"
"Ansonia School District","=""0020011""","Employee Benefits","$5,383,395",2247,2,"$2,396"
"Ansonia School District","=""0020011""","Purchased Services","$8,867,088",2247,2,"$3,946"
"Ansonia School District","=""0020011""","Tuition","$5,126,827",209,4,"$24,530"
"Ansonia School District","=""0020011""","Supplies","$1,346,470",2247,2,"$599"
"Ansonia School District","=""0020011""","Property","$1,817,355",2247,2,"$809"
"Ansonia School District","=""0020011""","Other","$38,035",2247,2,"$17"
"Ansonia School District","=""0020011""","Total","$44,897,466",2456,1,"$18,281"
"Area Cooperative Educational Services","=""2440014""","Salaries","$53,641,129",2116,2,"$25,350"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$18,124,605",2116,2,"$8,566"
"Area Cooperative Educational Services","=""2440014""","Purchased Services","$15,812,941",2116,2,"$7,473"
"Area Cooperative Educational Services","=""2440014""","Tuition","$0",0,4,"$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$4,747,798",2116,2,"$2,244"
"Area Cooperative Educational Services","=""2440014""","Property","$1,876,474",2116,2,"$887"
"Area Cooperative Educational Services","=""2440014""","Other","$643,586",2116,2,"$304"
"Area Cooperative Educational Services","=""2440014""","Total","$94,846,533",2116,1,"$44,824"
"Ashford School District","=""0030011""","Salaries","$5,300,995",381,2,"$13,913"
"Ashford School District","=""0030011""","Employee Benefits","$1,739,097",381,2,"$4,565"
"Ashford School District","=""0030011""","Purchased Services","$637,514",381,2,"$1,673"
"Ashford School District","=""0030011""","Supplies","$455,641",381,2,"$1,196"
"Ashford School District","=""0030011""","Property","$208,130",381,2,"$546"
"Ashford School District","=""0030011""","Other � Includes Tuition","$290,149",386,1,"$752"
"Ashford School District","=""0030011""","Total","$8,631,527",386,1,"$22,361"
"Avon School District","=""0040011""","Salaries","$40,048,738",3108,2,"$12,886"
"Avon School District","=""0040011""","Employee Benefits","$10,607,239",3108,2,"$3,413"
"Avon School District","=""0040011""","Purchased Services","$6,124,598",3108,2,"$1,971"
"Avon School District","=""0040011""","Tuition","$3,750,333",102,4,"$36,768"
"Avon School District","=""0040011""","Supplies","$2,348,075",3108,2,"$755"
"Avon School District","=""0040011""","Property","$1,635,908",3108,2,"$526"
"Avon School District","=""0040011""","Other","$146,571",3108,2,"$47"
"Avon School District","=""0040011""","Total","$64,661,463",3210,1,"$20,144"
"Barkhamsted School District","=""0050011""","Salaries","$2,267,332",207,2,"$10,953"
"Barkhamsted School District","=""0050011""","Employee Benefits","$569,605",207,2,"$2,752"
"Barkhamsted School District","=""0050011""","Purchased Services","$1,277,026",207,2,"$6,169"
"Barkhamsted School District","=""0050011""","Supplies","$132,201",207,2,"$639"
"Barkhamsted School District","=""0050011""","Property","$50,913",207,2,"$246"
"Barkhamsted School District","=""0050011""","Other � Includes Tuition","$451,866",212,1,"$2,131"
"Barkhamsted School District","=""0050011""","Total","$4,748,943",212,1,"$22,401"
"Berlin School District","=""0070011""","Salaries","$35,625,558",2642,2,"$13,484"
"Berlin School District","=""0070011""","Employee Benefits","$7,763,580",2642,2,"$2,939"
"Berlin School District","=""0070011""","Purchased Services","$6,655,553",2642,2,"$2,519"
"Berlin School District","=""0070011""","Tuition","$3,582,964",96,4,"$37,323"
"Berlin School District","=""0070011""","Supplies","$1,483,272",2642,2,"$561"
"Berlin School District","=""0070011""","Property","$2,006,392",2642,2,"$759"
"Berlin School District","=""0070011""","Other","$81,352",2642,2,"$31"
"Berlin School District","=""0070011""","Total","$57,198,671",2738,1,"$20,891"
"Bethany School District","=""0080011""","Salaries","$4,759,650",388,2,"$12,267"
"Bethany School District","=""0080011""","Employee Benefits","$976,354",388,2,"$2,516"
"Bethany School District","=""0080011""","Purchased Services","$883,157",388,2,"$2,276"
"Bethany School District","=""0080011""","Tuition","$118,021",8,4,"$14,753"
"Bethany School District","=""0080011""","Supplies","$289,088",388,2,"$745"
"Bethany School District","=""0080011""","Property","$409,172",388,2,"$1,055"
"Bethany School District","=""0080011""","Other","$204,136",388,2,"$526"
"Bethany School District","=""0080011""","Total","$7,639,578",396,1,"$19,292"
"Bethel School District","=""0090011""","Salaries","$35,862,263",3151,2,"$11,381"
"Bethel School District","=""0090011""","Employee Benefits","$10,181,143",3151,2,"$3,231"
"Bethel School District","=""0090011""","Purchased Services","$6,617,365",3151,2,"$2,100"
"Bethel School District","=""0090011""","Tuition","$1,703,623",40,4,"$42,591"
"Bethel School District","=""0090011""","Supplies","$1,013,680",3151,2,"$322"
"Bethel School District","=""0090011""","Property","$1,041,909",3151,2,"$331"
"Bethel School District","=""0090011""","Other","$82,473",3151,2,"$26"
"Bethel School District","=""0090011""","Total","$56,502,457",3191,1,"$17,707"
"Bloomfield School District","=""0110011""","Salaries","$32,420,851",2020,2,"$16,050"
"Bloomfield School District","=""0110011""","Employee Benefits","$11,747,649",2020,2,"$5,816"
"Bloomfield School District","=""0110011""","Purchased Services","$7,656,204",2020,2,"$3,790"
"Bloomfield School District","=""0110011""","Tuition","$5,469,062",656,4,"$8,337"
"Bloomfield School District","=""0110011""","Supplies","$2,363,977",2020,2,"$1,170"
"Bloomfield School District","=""0110011""","Property","$453,513",2020,2,"$225"
"Bloomfield School District","=""0110011""","Other","$137,344",2020,2,"$68"
"Bloomfield School District","=""0110011""","Total","$60,248,598",2676,1,"$22,514"
"Bolton School District","=""0120011""","Salaries","$9,889,888",748,2,"$13,222"
"Bolton School District","=""0120011""","Employee Benefits","$2,457,680",748,2,"$3,286"
"Bolton School District","=""0120011""","Purchased Services","$1,700,768",748,2,"$2,274"
"Bolton School District","=""0120011""","Tuition","$220,962",27,4,"$8,184"
"Bolton School District","=""0120011""","Supplies","$649,741",748,2,"$869"
"Bolton School District","=""0120011""","Property","$374,791",748,2,"$501"
"Bolton School District","=""0120011""","Other","$37,036",748,2,"$50"
"Bolton School District","=""0120011""","Total","$15,330,866",775,1,"$19,782"
"Booker T. Washington Academy District","=""2950013""","Salaries","$4,134,144",519,2,"$7,966"
"Booker T. Washington Academy District","=""2950013""","Employee Benefits","$713,943",519,2,"$1,376"
"Booker T. Washington Academy District","=""2950013""","Purchased Services","$1,779,583",519,2,"$3,429"
"Booker T. Washington Academy District","=""2950013""","Tuition","$0",0,4,"$0"
"Booker T. Washington Academy District","=""2950013""","Supplies","$354,485",519,2,"$683"
"Booker T. Washington Academy District","=""2950013""","Property","$92,557",519,2,"$178"
"Booker T. Washington Academy District","=""2950013""","Other","$1,928",519,2,"$4"
"Booker T. Washington Academy District","=""2950013""","Total","$7,076,639",519,1,"$13,635"
"Bozrah School District","=""0130011""","Salaries","$2,736,974",165,2,"$16,588"
"Bozrah School District","=""0130011""","Employee Benefits","$1,002,334",165,2,"$6,075"
"Bozrah School District","=""0130011""","Purchased Services","$743,590",165,2,"$4,507"
"Bozrah School District","=""0130011""","Tuition","$1,695,545",104,4,"$16,303"
"Bozrah School District","=""0130011""","Supplies","$234,962",165,2,"$1,424"
"Bozrah School District","=""0130011""","Property","$227,150",165,2,"$1,377"
"Bozrah School District","=""0130011""","Other","$6,430",165,2,"$39"
"Bozrah School District","=""0130011""","Total","$6,646,983",269,1,"$24,710"
"Branford School District","=""0140011""","Salaries","$36,080,109",2621,2,"$13,766"
"Branford School District","=""0140011""","Employee Benefits","$10,157,895",2621,2,"$3,876"
"Branford School District","=""0140011""","Purchased Services","$9,103,486",2621,2,"$3,473"
"Branford School District","=""0140011""","Tuition","$3,447,713",101,4,"$34,136"
"Branford School District","=""0140011""","Supplies","$2,524,517",2621,2,"$963"
"Branford School District","=""0140011""","Property","$1,110,910",2621,2,"$424"
"Branford School District","=""0140011""","Other","$283,404",2621,2,"$108"
"Branford School District","=""0140011""","Total","$62,708,033",2722,1,"$23,037"
"Brass City Charter School District","=""2900013""","Salaries","$3,349,078",360,2,"$9,303"
"Brass City Charter School District","=""2900013""","Employee Benefits","$609,617",360,2,"$1,693"
"Brass City Charter School District","=""2900013""","Purchased Services","$935,204",360,2,"$2,598"
"Brass City Charter School District","=""2900013""","Tuition","$0",0,4,"$0"
"Brass City Charter School District","=""2900013""","Supplies","$308,024",360,2,"$856"
"Brass City Charter School District","=""2900013""","Property","$50,100",360,2,"$139"
"Brass City Charter School District","=""2900013""","Other","$22,848",360,2,"$63"
"Brass City Charter School District","=""2900013""","Total","$5,274,871",360,1,"$14,652"
"Bridgeport School District","=""0150011""","Salaries","$174,707,516",19435,2,"$8,989"
"Bridgeport School District","=""0150011""","Employee Benefits","$67,788,226",19435,2,"$3,488"
"Bridgeport School District","=""0150011""","Purchased Services","$60,829,475",19435,2,"$3,130"
"Bridgeport School District","=""0150011""","Tuition","$28,163,857",702,4,"$40,119"
"Bridgeport School District","=""0150011""","Supplies","$22,140,325",19435,2,"$1,139"
"Bridgeport School District","=""0150011""","Property","$8,798,397",19435,2,"$453"
"Bridgeport School District","=""0150011""","Other","$4,538,498",19435,2,"$234"
"Bridgeport School District","=""0150011""","Total","$366,966,294",20137,1,"$18,223"
"Bristol School District","=""0170011""","Salaries","$83,676,254",7650,2,"$10,938"
"Bristol School District","=""0170011""","Employee Benefits","$25,125,984",7650,2,"$3,284"
"Bristol School District","=""0170011""","Purchased Services","$21,575,773",7650,2,"$2,820"
"Bristol School District","=""0170011""","Tuition","$16,323,017",426,4,"$38,317"
"Bristol School District","=""0170011""","Supplies","$2,993,828",7650,2,"$391"
"Bristol School District","=""0170011""","Property","$1,480,949",7650,2,"$194"
