"Per Pupil Expenditures by Object (District), 2019-20"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$8,344,759",1110,2,"$7,518"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,562,534",1110,2,"$1,408"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$3,612,836",1110,2,"$3,255"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$143,938",1110,2,"$130"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$140,328",1110,2,"$126"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$21,043",1110,2,"$19"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$13,825,439",1110,1,"$12,455"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$10,795,893",1169,2,"$9,235"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,879,997",1169,2,"$1,608"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$3,181,707",1169,2,"$2,722"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$106,047",1169,2,"$91"
"Achievement First Hartford Academy District","=""2880013""","Property","$172,719",1169,2,"$148"
"Achievement First Hartford Academy District","=""2880013""","Other","$20,872",1169,2,"$18"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,157,235",1169,1,"$13,821"
"Amistad Academy District","=""2790013""","Salaries","$7,951,604",1103,2,"$7,209"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,497,410",1103,2,"$1,358"
"Amistad Academy District","=""2790013""","Purchased Services","$3,570,454",1103,2,"$3,237"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$160,886",1103,2,"$146"
"Amistad Academy District","=""2790013""","Property","$173,953",1103,2,"$158"
"Amistad Academy District","=""2790013""","Other","$20,970",1103,2,"$19"
"Amistad Academy District","=""2790013""","Total","$13,375,278",1103,1,"$12,126"
"Andover School District","=""0010011""","Salaries","$2,504,839",195,2,"$12,845"
"Andover School District","=""0010011""","Employee Benefits","$722,234",195,2,"$3,704"
"Andover School District","=""0010011""","Purchased Services","$784,370",195,2,"$4,022"
"Andover School District","=""0010011""","Supplies","$361,844",195,2,"$1,856"
"Andover School District","=""0010011""","Property","$0",195,2,"$0"
"Andover School District","=""0010011""","Other � Includes Tuition","$131,584",198,1,"$665"
"Andover School District","=""0010011""","Total","$4,504,871",198,1,"$22,752"
"Ansonia School District","=""0020011""","Salaries","$19,315,796",2265,2,"$8,528"
"Ansonia School District","=""0020011""","Employee Benefits","$5,687,443",2265,2,"$2,511"
"Ansonia School District","=""0020011""","Purchased Services","$7,429,595",2265,2,"$3,280"
"Ansonia School District","=""0020011""","Tuition","$5,056,646",234,4,"$21,610"
"Ansonia School District","=""0020011""","Supplies","$760,582",2265,2,"$336"
"Ansonia School District","=""0020011""","Property","$973,098",2265,2,"$430"
"Ansonia School District","=""0020011""","Other","$35,271",2265,2,"$16"
"Ansonia School District","=""0020011""","Total","$39,258,430",2499,1,"$15,710"
"Area Cooperative Educational Services","=""2440014""","Salaries","$48,680,251",2137,2,"$22,780"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$14,488,987",2137,2,"$6,780"
"Area Cooperative Educational Services","=""2440014""","Purchased Services","$12,410,700",2137,2,"$5,808"
"Area Cooperative Educational Services","=""2440014""","Tuition","$0",0,4,"$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$2,185,993",2137,2,"$1,023"
"Area Cooperative Educational Services","=""2440014""","Property","$923,209",2137,2,"$432"
"Area Cooperative Educational Services","=""2440014""","Other","$153,913",2137,2,"$72"
"Area Cooperative Educational Services","=""2440014""","Total","$78,843,053",2137,1,"$36,894"
"Ashford School District","=""0030011""","Salaries","$5,074,289",390,2,"$13,011"
"Ashford School District","=""0030011""","Employee Benefits","$1,625,831",390,2,"$4,169"
"Ashford School District","=""0030011""","Purchased Services","$515,345",390,2,"$1,321"
"Ashford School District","=""0030011""","Tuition","$195,944",8,4,"$24,493"
"Ashford School District","=""0030011""","Supplies","$414,867",390,2,"$1,064"
"Ashford School District","=""0030011""","Property","$280,831",390,2,"$720"
"Ashford School District","=""0030011""","Other","$13,579",390,2,"$35"
"Ashford School District","=""0030011""","Total","$8,120,685",398,1,"$20,404"
"Avon School District","=""0040011""","Salaries","$37,094,974",3162,2,"$11,731"
"Avon School District","=""0040011""","Employee Benefits","$9,962,178",3162,2,"$3,151"
"Avon School District","=""0040011""","Purchased Services","$5,942,879",3162,2,"$1,879"
"Avon School District","=""0040011""","Tuition","$2,742,543",104,4,"$26,371"
"Avon School District","=""0040011""","Supplies","$2,718,200",3162,2,"$860"
"Avon School District","=""0040011""","Property","$773,850",3162,2,"$245"
"Avon School District","=""0040011""","Other","$82,512",3162,2,"$26"
"Avon School District","=""0040011""","Total","$59,317,135",3266,1,"$18,162"
"Barkhamsted School District","=""0050011""","Salaries","$2,098,736",218,2,"$9,627"
"Barkhamsted School District","=""0050011""","Employee Benefits","$523,568",218,2,"$2,402"
"Barkhamsted School District","=""0050011""","Purchased Services","$1,219,416",218,2,"$5,594"
"Barkhamsted School District","=""0050011""","Tuition","$180,843",7,4,"$25,835"
"Barkhamsted School District","=""0050011""","Supplies","$142,546",218,2,"$654"
"Barkhamsted School District","=""0050011""","Property","$39,494",218,2,"$181"
"Barkhamsted School District","=""0050011""","Other","$44,866",218,2,"$206"
"Barkhamsted School District","=""0050011""","Total","$4,249,468",225,1,"$18,887"
"Berlin School District","=""0070011""","Salaries","$32,326,370",2735,2,"$11,820"
"Berlin School District","=""0070011""","Employee Benefits","$7,200,637",2735,2,"$2,633"
"Berlin School District","=""0070011""","Purchased Services","$6,242,700",2735,2,"$2,283"
"Berlin School District","=""0070011""","Tuition","$2,493,611",113,4,"$22,067"
"Berlin School District","=""0070011""","Supplies","$2,241,388",2735,2,"$820"
"Berlin School District","=""0070011""","Property","$1,180,355",2735,2,"$432"
"Berlin School District","=""0070011""","Other","$69,010",2735,2,"$25"
"Berlin School District","=""0070011""","Total","$51,754,070",2848,1,"$18,172"
"Bethany School District","=""0080011""","Salaries","$4,374,887",369,2,"$11,856"
"Bethany School District","=""0080011""","Employee Benefits","$887,646",369,2,"$2,406"
"Bethany School District","=""0080011""","Purchased Services","$790,456",369,2,"$2,142"
"Bethany School District","=""0080011""","Tuition","$182,093",8,4,"$22,762"
"Bethany School District","=""0080011""","Supplies","$391,457",369,2,"$1,061"
"Bethany School District","=""0080011""","Property","$352,196",369,2,"$954"
"Bethany School District","=""0080011""","Other","$233,975",369,2,"$634"
"Bethany School District","=""0080011""","Total","$7,212,710",377,1,"$19,132"
"Bethel School District","=""0090011""","Salaries","$32,887,954",3139,2,"$10,477"
"Bethel School District","=""0090011""","Employee Benefits","$9,582,512",3139,2,"$3,053"
"Bethel School District","=""0090011""","Purchased Services","$5,456,400",3139,2,"$1,738"
"Bethel School District","=""0090011""","Tuition","$1,414,765",49,4,"$28,873"
"Bethel School District","=""0090011""","Supplies","$864,960",3139,2,"$276"
"Bethel School District","=""0090011""","Property","$624,641",3139,2,"$199"
"Bethel School District","=""0090011""","Other","$75,247",3139,2,"$24"
"Bethel School District","=""0090011""","Total","$50,906,480",3188,1,"$15,968"
"Bloomfield School District","=""0110011""","Salaries","$28,200,171",2193,2,"$12,859"
"Bloomfield School District","=""0110011""","Employee Benefits","$12,004,643",2193,2,"$5,474"
"Bloomfield School District","=""0110011""","Purchased Services","$5,992,913",2193,2,"$2,733"
"Bloomfield School District","=""0110011""","Tuition","$4,829,873",529,4,"$9,130"
"Bloomfield School District","=""0110011""","Supplies","$2,491,510",2193,2,"$1,136"
"Bloomfield School District","=""0110011""","Property","$485,533",2193,2,"$221"
"Bloomfield School District","=""0110011""","Other","$139,392",2193,2,"$64"
"Bloomfield School District","=""0110011""","Total","$54,144,036",2722,1,"$19,891"
"Bolton School District","=""0120011""","Salaries","$9,834,609",774,2,"$12,706"
"Bolton School District","=""0120011""","Employee Benefits","$2,388,027",774,2,"$3,085"
"Bolton School District","=""0120011""","Purchased Services","$1,368,988",774,2,"$1,769"
"Bolton School District","=""0120011""","Tuition","$343,955",24,4,"$14,331"
"Bolton School District","=""0120011""","Supplies","$737,090",774,2,"$952"
"Bolton School District","=""0120011""","Property","$193,307",774,2,"$250"
"Bolton School District","=""0120011""","Other","$44,252",774,2,"$57"
"Bolton School District","=""0120011""","Total","$14,910,228",798,1,"$18,684"
"Booker T. Washington Academy District","=""2950013""","Salaries","$3,148,991",420,2,"$7,498"
"Booker T. Washington Academy District","=""2950013""","Employee Benefits","$586,969",420,2,"$1,398"
"Booker T. Washington Academy District","=""2950013""","Purchased Services","$1,415,197",420,2,"$3,370"
"Booker T. Washington Academy District","=""2950013""","Tuition","$0",0,4,"$0"
"Booker T. Washington Academy District","=""2950013""","Supplies","$324,396",420,2,"$772"
"Booker T. Washington Academy District","=""2950013""","Property","$22,992",420,2,"$55"
"Booker T. Washington Academy District","=""2950013""","Other","$-349",420,2,"$-1"
"Booker T. Washington Academy District","=""2950013""","Total","$5,498,197",420,1,"$13,091"
"Bozrah School District","=""0130011""","Salaries","$2,660,205",185,2,"$14,379"
"Bozrah School District","=""0130011""","Employee Benefits","$787,239",185,2,"$4,255"
"Bozrah School District","=""0130011""","Purchased Services","$686,096",185,2,"$3,709"
"Bozrah School District","=""0130011""","Tuition","$1,554,751",86,4,"$18,079"
"Bozrah School District","=""0130011""","Supplies","$183,417",185,2,"$991"
"Bozrah School District","=""0130011""","Property","$93,431",185,2,"$505"
"Bozrah School District","=""0130011""","Other","$7,420",185,2,"$40"
"Bozrah School District","=""0130011""","Total","$5,972,559",271,1,"$22,039"
"Branford School District","=""0140011""","Salaries","$35,249,253",2792,2,"$12,625"
"Branford School District","=""0140011""","Employee Benefits","$10,390,706",2792,2,"$3,722"
"Branford School District","=""0140011""","Purchased Services","$7,614,761",2792,2,"$2,727"
"Branford School District","=""0140011""","Tuition","$2,767,330",86,4,"$32,178"
"Branford School District","=""0140011""","Supplies","$2,067,541",2792,2,"$741"
"Branford School District","=""0140011""","Property","$572,641",2792,2,"$205"
"Branford School District","=""0140011""","Other","$242,081",2792,2,"$87"
"Branford School District","=""0140011""","Total","$58,904,314",2878,1,"$20,467"
"Brass City Charter School District","=""2900013""","Salaries","$2,940,388",326,2,"$9,020"
"Brass City Charter School District","=""2900013""","Employee Benefits","$489,637",326,2,"$1,502"
"Brass City Charter School District","=""2900013""","Purchased Services","$533,578",326,2,"$1,637"
"Brass City Charter School District","=""2900013""","Tuition","$0",0,4,"$0"
"Brass City Charter School District","=""2900013""","Supplies","$205,866",326,2,"$631"
"Brass City Charter School District","=""2900013""","Property","$20,170",326,2,"$62"
"Brass City Charter School District","=""2900013""","Other","$17,198",326,2,"$53"
"Brass City Charter School District","=""2900013""","Total","$4,206,837",326,1,"$12,904"
"Bridgeport School District","=""0150011""","Salaries","$166,200,946",20487,2,"$8,113"
"Bridgeport School District","=""0150011""","Employee Benefits","$64,203,098",20487,2,"$3,134"
"Bridgeport School District","=""0150011""","Purchased Services","$40,300,975",20487,2,"$1,967"
"Bridgeport School District","=""0150011""","Tuition","$29,298,476",743,4,"$39,433"
"Bridgeport School District","=""0150011""","Supplies","$5,234,700",20487,2,"$256"
"Bridgeport School District","=""0150011""","Property","$2,706,339",20487,2,"$132"
"Bridgeport School District","=""0150011""","Other","$4,525,928",20487,2,"$221"
"Bridgeport School District","=""0150011""","Total","$312,470,461",21230,1,"$14,718"
"Bristol School District","=""0170011""","Salaries","$77,464,767",7861,2,"$9,854"
"Bristol School District","=""0170011""","Employee Benefits","$20,070,071",7861,2,"$2,553"
"Bristol School District","=""0170011""","Purchased Services","$16,195,051",7861,2,"$2,060"
"Bristol School District","=""0170011""","Tuition","$15,408,236",462,4,"$33,351"
"Bristol School District","=""0170011""","Supplies","$2,561,774",7861,2,"$326"
"Bristol School District","=""0170011""","Property","$408,297",7861,2,"$52"
"Bristol School District","=""0170011""","Other","$529,586",7861,2,"$67"
"Bristol School District","=""0170011""","Total","$132,637,782",8323,1,"$15,936"
"Brookfield School District","=""0180011""","Salaries","$28,436,809",2609,2,"$10,900"
"Brookfield School District","=""0180011""","Employee Benefits","$7,463,786",2609,2,"$2,861"
"Brookfield School District","=""0180011""","Purchased Services","$6,034,761",2609,2,"$2,313"
"Brookfield School District","=""0180011""","Tuition","$2,338,910",76,4,"$30,775"
"Brookfield School District","=""0180011""","Supplies","$907,983",2609,2,"$348"
"Brookfield School District","=""0180011""","Property","$382,097",2609,2,"$146"
"Brookfield School District","=""0180011""","Other","$66,664",2609,2,"$26"
"Brookfield School District","=""0180011""","Total","$45,631,010",2685,1,"$16,995"
"Brooklyn School District","=""0190011""","Salaries","$8,487,037",903,2,"$9,399"
"Brooklyn School District","=""0190011""","Employee Benefits","$2,041,874",903,2,"$2,261"
"Brooklyn School District","=""0190011""","Purchased Services","$1,717,162",903,2,"$1,902"
"Brooklyn School District","=""0190011""","Tuition","$6,715,996",383,4,"$17,535"
"Brooklyn School District","=""0190011""","Supplies","$787,556",903,2,"$872"
"Brooklyn School District","=""0190011""","Property","$203,099",903,2,"$225"
"Brooklyn School District","=""0190011""","Other","$66,922",903,2,"$74"
"Brooklyn School District","=""0190011""","Total","$20,019,647",1286,1,"$15,567"
"Canaan School District","=""0210011""","Salaries","$1,387,591",67,2,"$20,710"
"Canaan School District","=""0210011""","Employee Benefits","$460,647",67,2,"$6,875"
"Canaan School District","=""0210011""","Purchased Services","$375,137",67,2,"$5,599"
"Canaan School District","=""0210011""","Supplies","$91,974",67,2,"$1,373"
"Canaan School District","=""0210011""","Property","$59,343",67,2,"$886"
"Canaan School District","=""0210011""","Other � Includes Tuition","$4,585",69,1,"$66"
"Canaan School District","=""0210011""","Total","$2,379,276",69,1,"$34,482"
"Canterbury School District","=""0220011""","Salaries","$5,595,948",469,2,"$11,932"
"Canterbury School District","=""0220011""","Employee Benefits","$1,493,742",469,2,"$3,185"
"Canterbury School District","=""0220011""","Purchased Services","$713,388",469,2,"$1,521"
"Canterbury School District","=""0220011""","Tuition","$3,788,622",221,4,"$17,143"
"Canterbury School District","=""0220011""","Supplies","$265,867",469,2,"$567"
"Canterbury School District","=""0220011""","Property","$161,094",469,2,"$343"
"Canterbury School District","=""0220011""","Other","$31,547",469,2,"$67"
"Canterbury School District","=""0220011""","Total","$12,050,207",690,1,"$17,464"
"Canton School District","=""0230011""","Salaries","$17,463,300",1564,2,"$11,166"
"Canton School District","=""0230011""","Employee Benefits","$4,936,334",1564,2,"$3,156"
"Canton School District","=""0230011""","Purchased Services","$3,157,273",1564,2,"$2,019"
"Canton School District","=""0230011""","Tuition","$1,285,989",37,4,"$34,756"
"Canton School District","=""0230011""","Supplies","$1,149,745",1564,2,"$735"
"Canton School District","=""0230011""","Property","$283,693",1564,2,"$181"
"Canton School District","=""0230011""","Other","$93,297",1564,2,"$60"
"Canton School District","=""0230011""","Total","$28,369,631",1601,1,"$17,720"
"Capital Preparatory Harbor School District","=""2970013""","Salaries","$3,600,363",760,2,"$4,737"
"Capital Preparatory Harbor School District","=""2970013""","Employee Benefits","$818,072",760,2,"$1,076"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services","$3,076,377",760,2,"$4,048"
"Capital Preparatory Harbor School District","=""2970013""","Tuition","$22,809",0,4,"$22,809"
"Capital Preparatory Harbor School District","=""2970013""","Supplies","$295,764",760,2,"$389"
"Capital Preparatory Harbor School District","=""2970013""","Property","$214,900",760,2,"$283"
"Capital Preparatory Harbor School District","=""2970013""","Other","$2,102",760,2,"$3"
