"Per Pupil Expenditures by Object (District), 2024-25"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$8,257,716",1090,2,"$7,576"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,894,708",1090,2,"$1,738"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$4,991,565",1090,2,"$4,579"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$318,147",1090,2,"$292"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$1,199,703",1090,2,"$1,101"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$3,404",1090,2,"$3"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$16,665,242",1090,1,"$15,289"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$9,348,304",907,2,"$10,307"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,858,578",907,2,"$2,049"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$4,108,025",907,2,"$4,529"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$411,841",907,2,"$454"
"Achievement First Hartford Academy District","=""2880013""","Property","$764,100",907,2,"$842"
"Achievement First Hartford Academy District","=""2880013""","Other","$11,767",907,2,"$13"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,502,615",907,1,"$18,195"
"Amistad Academy District","=""2790013""","Salaries","$8,479,541",1105,2,"$7,674"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,540,255",1105,2,"$1,394"
"Amistad Academy District","=""2790013""","Purchased Services","$5,148,366",1105,2,"$4,659"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$326,783",1105,2,"$296"
"Amistad Academy District","=""2790013""","Property","$1,338,294",1105,2,"$1,211"
"Amistad Academy District","=""2790013""","Other","$2,293",1105,2,"$2"
"Amistad Academy District","=""2790013""","Total","$16,835,531",1105,1,"$15,236"
"Andover School District","=""0010011""","Salaries","$2,733,222",239,2,"$11,436"
"Andover School District","=""0010011""","Employee Benefits","$851,226",239,2,"$3,562"
"Andover School District","=""0010011""","Purchased Services","$664,510",239,2,"$2,780"
"Andover School District","=""0010011""","Supplies","$330,941",239,2,"$1,385"
"Andover School District","=""0010011""","Property","$0",239,2,"$0"
"Andover School District","=""0010011""","Other � Includes Tuition","$1,165",241,1,"$5"
"Andover School District","=""0010011""","Total","$4,581,062",241,1,"$19,009"
"Ansonia School District","=""0020011""","Salaries","$26,546,870",2387,2,"$11,121"
"Ansonia School District","=""0020011""","Employee Benefits","$6,598,263",2387,2,"$2,764"
"Ansonia School District","=""0020011""","Purchased Services","$9,951,734",2387,2,"$4,169"
"Ansonia School District","=""0020011""","Tuition","$6,135,782",197,4,"$31,146"
"Ansonia School District","=""0020011""","Supplies","$1,968,998",2387,2,"$825"
"Ansonia School District","=""0020011""","Property","$915,840",2387,2,"$384"
"Ansonia School District","=""0020011""","Other","$44,703",2387,2,"$19"
"Ansonia School District","=""0020011""","Total","$52,162,191",2584,1,"$20,187"
