"Per Pupil Expenditures by Object (District), 2022-23"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$8,607,267",1084,2,"$7,940"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,384,758",1084,2,"$1,277"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$4,815,640",1084,2,"$4,442"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$198,291",1084,2,"$183"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$384,500",1084,2,"$355"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$22,500",1084,2,"$21"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$15,412,955",1084,1,"$14,219"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$10,637,132",1041,2,"$10,218"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,724,553",1041,2,"$1,657"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$3,525,078",1041,2,"$3,386"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$212,951",1041,2,"$205"
"Achievement First Hartford Academy District","=""2880013""","Property","$273,812",1041,2,"$263"
"Achievement First Hartford Academy District","=""2880013""","Other","$19,159",1041,2,"$18"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,392,684",1041,1,"$15,747"
"Amistad Academy District","=""2790013""","Salaries","$9,116,051",1116,2,"$8,169"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,485,607",1116,2,"$1,331"
"Amistad Academy District","=""2790013""","Purchased Services","$4,688,202",1116,2,"$4,201"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
"Amistad Academy District","=""2790013""","Supplies","$201,000",1116,2,"$180"
"Amistad Academy District","=""2790013""","Property","$323,651",1116,2,"$290"
"Amistad Academy District","=""2790013""","Other","$15,382",1116,2,"$14"
"Amistad Academy District","=""2790013""","Total","$15,829,893",1116,1,"$14,184"
"Andover School District","=""0010011""","Salaries","$2,505,453",196,2,"$12,783"
"Andover School District","=""0010011""","Employee Benefits","$740,099",196,2,"$3,776"
"Andover School District","=""0010011""","Purchased Services","$852,422",196,2,"$4,349"
"Andover School District","=""0010011""","Supplies","$273,946",196,2,"$1,398"
"Andover School District","=""0010011""","Property","$0",196,2,"$0"
