"Per Pupil Expenditures by Object (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 4 = Outplaced pupils"
"*Tuition expenditures are included with Other expenditures when fewer than six students are outplaced."

"District","District Code","Object","Expenditures","Pupils","Pupil Basis","PPE"
"Achievement First Bridgeport Academy District","=""2850013""","Salaries","$8,111,945",1098,2,"$7,388"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$1,427,869",1098,2,"$1,300"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services","$5,267,847",1098,2,"$4,798"
"Achievement First Bridgeport Academy District","=""2850013""","Tuition","$0",0,4,"$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$257,345",1098,2,"$234"
"Achievement First Bridgeport Academy District","=""2850013""","Property","$960,416",1098,2,"$875"
"Achievement First Bridgeport Academy District","=""2850013""","Other","$23,454",1098,2,"$21"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$16,048,875",1098,1,"$14,616"
"Achievement First Hartford Academy District","=""2880013""","Salaries","$9,633,974",961,2,"$10,025"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$1,759,922",961,2,"$1,831"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services","$4,379,595",961,2,"$4,557"
"Achievement First Hartford Academy District","=""2880013""","Tuition","$0",0,4,"$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$487,590",961,2,"$507"
"Achievement First Hartford Academy District","=""2880013""","Property","$714,806",961,2,"$744"
"Achievement First Hartford Academy District","=""2880013""","Other","$22,365",961,2,"$23"
"Achievement First Hartford Academy District","=""2880013""","Total","$16,998,253",961,1,"$17,688"
"Amistad Academy District","=""2790013""","Salaries","$8,485,455",1125,2,"$7,543"
"Amistad Academy District","=""2790013""","Employee Benefits","$1,577,251",1125,2,"$1,402"
"Amistad Academy District","=""2790013""","Purchased Services","$5,027,475",1125,2,"$4,469"
"Amistad Academy District","=""2790013""","Tuition","$0",0,4,"$0"
