"Special Education Expenditures, 2020-21"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$334,910"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$54,838"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$111,370"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$4,165"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$20,055"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$790"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$526,127"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,411,816"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$253,629"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$560,905"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$11,196"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$47,811"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$2,648"
"Achievement First Hartford Academy District","=""2880013""","Total","$2,288,004"
"Amistad Academy District","=""2790013""","Teacher Salaries","$1,527,752"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$160,812"
