"Special Education Expenditures, 2019-20"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$489,103"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$90,858"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$135,730"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$5,337"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$6,566"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$1,176"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$728,769"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,444,134"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$241,762"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$531,587"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$10,598"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$19,078"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$2,671"
"Achievement First Hartford Academy District","=""2880013""","Total","$2,249,831"
"Amistad Academy District","=""2790013""","Teacher Salaries","$1,454,476"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$275,459"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$263,081"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$10,499"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$18,500"
"Amistad Academy District","=""2790013""","All Other Expenditures","$2,463"
"Amistad Academy District","=""2790013""","Total","$2,024,477"
"Andover School District","=""0010011""","Teacher Salaries","$213,377"
"Andover School District","=""0010011""","Instructional Aide Salaries","$86,494"
"Andover School District","=""0010011""","Other Salaries","$44,045"
"Andover School District","=""0010011""","Employee Benefits","$117,272"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$53,643"
"Andover School District","=""0010011""","Special Education Tuition","$106,531"
"Andover School District","=""0010011""","Supplies","$16,773"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$8,222"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$0"
"Andover School District","=""0010011""","Total","$646,355"
"Ansonia School District","=""0020011""","Teacher Salaries","$2,172,442"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$521,811"
"Ansonia School District","=""0020011""","Other Salaries","$599,352"
"Ansonia School District","=""0020011""","Employee Benefits","$496,503"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$1,490,492"
"Ansonia School District","=""0020011""","Special Education Tuition","$4,779,281"
"Ansonia School District","=""0020011""","Supplies","$32,494"
"Ansonia School District","=""0020011""","Property Services","$4,848"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,272,702"
"Ansonia School District","=""0020011""","Equipment","$5,166"
"Ansonia School District","=""0020011""","All Other Expenditures","$0"
"Ansonia School District","=""0020011""","Total","$11,375,091"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$9,407,185"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$7,219,231"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$14,648,594"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$9,452,491"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$1,104,333"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$1,048,299"
"Area Cooperative Educational Services","=""2440014""","Property Services","$1,696,596"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$432,629"
"Area Cooperative Educational Services","=""2440014""","Equipment","$636,898"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$19,392"
"Area Cooperative Educational Services","=""2440014""","Total","$45,665,649"
"Ashford School District","=""0030011""","Teacher Salaries","$493,345"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$460,421"
"Ashford School District","=""0030011""","Other Salaries","$193,958"
"Ashford School District","=""0030011""","Employee Benefits","$395,483"
"Ashford School District","=""0030011""","Purchased Services Other Than Transportation","$223,020"
"Ashford School District","=""0030011""","Special Education Tuition","$190,946"
"Ashford School District","=""0030011""","Supplies","$35,224"
"Ashford School District","=""0030011""","Property Services","$0"
"Ashford School District","=""0030011""","Purchased Services For Transportation","$0"
"Ashford School District","=""0030011""","Equipment","$5,355"
"Ashford School District","=""0030011""","All Other Expenditures","$0"
"Ashford School District","=""0030011""","Total","$1,997,753"
"Avon School District","=""0040011""","Teacher Salaries","$4,301,451"
"Avon School District","=""0040011""","Instructional Aide Salaries","$1,618,709"
"Avon School District","=""0040011""","Other Salaries","$527,734"
"Avon School District","=""0040011""","Employee Benefits","$1,778,451"
"Avon School District","=""0040011""","Purchased Services Other Than Transportation","$460,681"
"Avon School District","=""0040011""","Special Education Tuition","$2,574,087"
"Avon School District","=""0040011""","Supplies","$101,698"
"Avon School District","=""0040011""","Property Services","$0"
"Avon School District","=""0040011""","Purchased Services For Transportation","$721,306"
"Avon School District","=""0040011""","Equipment","$76,318"
"Avon School District","=""0040011""","All Other Expenditures","$870"
"Avon School District","=""0040011""","Total","$12,161,305"
"Barkhamsted School District","=""0050011""","Teacher Salaries","$98,966"
"Barkhamsted School District","=""0050011""","Instructional Aide Salaries","$19,518"
"Barkhamsted School District","=""0050011""","Other Salaries","$0"
"Barkhamsted School District","=""0050011""","Employee Benefits","$0"
"Barkhamsted School District","=""0050011""","Purchased Services Other Than Transportation","$678,956"
"Barkhamsted School District","=""0050011""","Special Education Tuition","$174,532"
"Barkhamsted School District","=""0050011""","Supplies","$634"
"Barkhamsted School District","=""0050011""","Property Services","$0"
"Barkhamsted School District","=""0050011""","Purchased Services For Transportation","$32,370"
"Barkhamsted School District","=""0050011""","Equipment","$0"
"Barkhamsted School District","=""0050011""","All Other Expenditures","$225"
"Barkhamsted School District","=""0050011""","Total","$1,005,201"
"Berlin School District","=""0070011""","Teacher Salaries","$4,239,110"
"Berlin School District","=""0070011""","Instructional Aide Salaries","$1,635,550"
"Berlin School District","=""0070011""","Other Salaries","$1,085,894"
"Berlin School District","=""0070011""","Employee Benefits","$1,510,025"
"Berlin School District","=""0070011""","Purchased Services Other Than Transportation","$592,781"
"Berlin School District","=""0070011""","Special Education Tuition","$2,229,000"
"Berlin School District","=""0070011""","Supplies","$44,847"
"Berlin School District","=""0070011""","Property Services","$0"
"Berlin School District","=""0070011""","Purchased Services For Transportation","$1,310,477"
"Berlin School District","=""0070011""","Equipment","$4,136"
"Berlin School District","=""0070011""","All Other Expenditures","$5,109"
"Berlin School District","=""0070011""","Total","$12,656,929"
"Bethany School District","=""0080011""","Teacher Salaries","$653,522"
"Bethany School District","=""0080011""","Instructional Aide Salaries","$260,913"
"Bethany School District","=""0080011""","Other Salaries","$236,291"
"Bethany School District","=""0080011""","Employee Benefits","$218,439"
"Bethany School District","=""0080011""","Purchased Services Other Than Transportation","$122,889"
"Bethany School District","=""0080011""","Special Education Tuition","$182,093"
"Bethany School District","=""0080011""","Supplies","$7,095"
"Bethany School District","=""0080011""","Property Services","$0"
"Bethany School District","=""0080011""","Purchased Services For Transportation","$0"
"Bethany School District","=""0080011""","Equipment","$159,774"
"Bethany School District","=""0080011""","All Other Expenditures","$165,171"
"Bethany School District","=""0080011""","Total","$2,006,187"
"Bethel School District","=""0090011""","Teacher Salaries","$3,353,220"
"Bethel School District","=""0090011""","Instructional Aide Salaries","$1,307,095"
"Bethel School District","=""0090011""","Other Salaries","$2,270,429"
"Bethel School District","=""0090011""","Employee Benefits","$2,019,400"
"Bethel School District","=""0090011""","Purchased Services Other Than Transportation","$440,301"
"Bethel School District","=""0090011""","Special Education Tuition","$1,306,660"
"Bethel School District","=""0090011""","Supplies","$44,879"
"Bethel School District","=""0090011""","Property Services","$140"
"Bethel School District","=""0090011""","Purchased Services For Transportation","$840,517"
"Bethel School District","=""0090011""","Equipment","$10,195"
"Bethel School District","=""0090011""","All Other Expenditures","$1,282"
"Bethel School District","=""0090011""","Total","$11,594,119"
"Bloomfield School District","=""0110011""","Teacher Salaries","$2,982,429"
"Bloomfield School District","=""0110011""","Instructional Aide Salaries","$1,174,178"
"Bloomfield School District","=""0110011""","Other Salaries","$880,014"
"Bloomfield School District","=""0110011""","Employee Benefits","$1,358,504"
"Bloomfield School District","=""0110011""","Purchased Services Other Than Transportation","$248,321"
"Bloomfield School District","=""0110011""","Special Education Tuition","$3,520,978"
"Bloomfield School District","=""0110011""","Supplies","$23,608"
"Bloomfield School District","=""0110011""","Property Services","$0"
"Bloomfield School District","=""0110011""","Purchased Services For Transportation","$762,444"
"Bloomfield School District","=""0110011""","Equipment","$2,183"
"Bloomfield School District","=""0110011""","All Other Expenditures","$375"
"Bloomfield School District","=""0110011""","Total","$10,953,034"
"Bolton School District","=""0120011""","Teacher Salaries","$951,438"
"Bolton School District","=""0120011""","Instructional Aide Salaries","$507,366"
"Bolton School District","=""0120011""","Other Salaries","$277,003"
"Bolton School District","=""0120011""","Employee Benefits","$574,162"
"Bolton School District","=""0120011""","Purchased Services Other Than Transportation","$51,652"
"Bolton School District","=""0120011""","Special Education Tuition","$298,918"
"Bolton School District","=""0120011""","Supplies","$24,523"
"Bolton School District","=""0120011""","Property Services","$0"
"Bolton School District","=""0120011""","Purchased Services For Transportation","$82,647"
"Bolton School District","=""0120011""","Equipment","$5,017"
"Bolton School District","=""0120011""","All Other Expenditures","$175"
"Bolton School District","=""0120011""","Total","$2,772,903"
"Booker T. Washington Academy District","=""2950013""","Teacher Salaries","$47,456"
