"Special Education Expenditures, 2024-25"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$799,575"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$143,923"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$410,039"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$13,727"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$114,914"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$326"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$1,482,504"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,420,242"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$255,643"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$803,817"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$30,555"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$113,721"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$1,751"
"Achievement First Hartford Academy District","=""2880013""","Total","$2,625,729"
"Amistad Academy District","=""2790013""","Teacher Salaries","$898,642"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$161,626"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$494,756"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$25,996"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$196,429"
"Amistad Academy District","=""2790013""","All Other Expenditures","$337"
"Amistad Academy District","=""2790013""","Total","$1,777,786"
"Andover School District","=""0010011""","Teacher Salaries","$242,364"
"Andover School District","=""0010011""","Instructional Aide Salaries","$99,846"
"Andover School District","=""0010011""","Other Salaries","$33,680"
"Andover School District","=""0010011""","Employee Benefits","$105,282"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$38,115"
"Andover School District","=""0010011""","Special Education Tuition","$0"
"Andover School District","=""0010011""","Supplies","$13,702"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$19,181"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$0"
"Andover School District","=""0010011""","Total","$552,170"
"Ansonia School District","=""0020011""","Teacher Salaries","$2,642,299"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$833,793"
"Ansonia School District","=""0020011""","Other Salaries","$858,032"
"Ansonia School District","=""0020011""","Employee Benefits","$708,488"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$1,208,465"
"Ansonia School District","=""0020011""","Special Education Tuition","$5,968,421"
"Ansonia School District","=""0020011""","Supplies","$50,135"
"Ansonia School District","=""0020011""","Property Services","$1,042,806"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,811,399"
"Ansonia School District","=""0020011""","Equipment","$0"
