"Special Education Expenditures, 2017-18"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$433,205"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$82,003"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$117,532"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$5,421"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$7,461"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$979"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$646,601"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,295,929"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$232,777"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$512,107"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$22,008"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$28,711"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$2,447"
"Achievement First Hartford Academy District","=""2880013""","Total","$2,093,980"
"Amistad Academy District","=""2790013""","Teacher Salaries","$886,813"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$175,257"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$218,801"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$12,729"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$13,733"
"Amistad Academy District","=""2790013""","All Other Expenditures","$2,775"
"Amistad Academy District","=""2790013""","Total","$1,310,109"
"Andover School District","=""0010011""","Teacher Salaries","$221,711"
"Andover School District","=""0010011""","Instructional Aide Salaries","$93,919"
"Andover School District","=""0010011""","Other Salaries","$42,012"
"Andover School District","=""0010011""","Employee Benefits","$160,338"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$28,924"
"Andover School District","=""0010011""","Special Education Tuition","$16,782"
"Andover School District","=""0010011""","Supplies","$13,331"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$1,820"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$0"
"Andover School District","=""0010011""","Total","$578,836"
"Ansonia School District","=""0020011""","Teacher Salaries","$2,107,417"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$406,985"
"Ansonia School District","=""0020011""","Other Salaries","$817,659"
"Ansonia School District","=""0020011""","Employee Benefits","$592,838"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$1,500,435"
"Ansonia School District","=""0020011""","Special Education Tuition","$5,422,770"
"Ansonia School District","=""0020011""","Supplies","$40,223"
"Ansonia School District","=""0020011""","Property Services","$3,588"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,378,068"
"Ansonia School District","=""0020011""","Equipment","$4,210"
"Ansonia School District","=""0020011""","All Other Expenditures","$1,576"
"Ansonia School District","=""0020011""","Total","$12,275,771"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$10,035,911"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$6,643,288"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$10,882,924"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$6,194,041"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$1,901,524"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$1,166,153"
"Area Cooperative Educational Services","=""2440014""","Property Services","$2,148,925"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$292,619"
"Area Cooperative Educational Services","=""2440014""","Equipment","$52,954"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$6,702"
"Area Cooperative Educational Services","=""2440014""","Total","$39,325,041"
"Ashford School District","=""0030011""","Teacher Salaries","$478,371"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$413,063"
"Ashford School District","=""0030011""","Other Salaries","$341,605"
"Ashford School District","=""0030011""","Employee Benefits","$405,799"
"Ashford School District","=""0030011""","Purchased Services Other Than Transportation","$186,604"
"Ashford School District","=""0030011""","Special Education Tuition","$298,267"
"Ashford School District","=""0030011""","Supplies","$59,572"
"Ashford School District","=""0030011""","Property Services","$0"
"Ashford School District","=""0030011""","Purchased Services For Transportation","$0"
"Ashford School District","=""0030011""","Equipment","$8,812"
"Ashford School District","=""0030011""","All Other Expenditures","$1,248"
"Ashford School District","=""0030011""","Total","$2,193,341"
"Avon School District","=""0040011""","Teacher Salaries","$3,984,461"
"Avon School District","=""0040011""","Instructional Aide Salaries","$1,447,416"
"Avon School District","=""0040011""","Other Salaries","$565,930"
"Avon School District","=""0040011""","Employee Benefits","$1,756,875"
"Avon School District","=""0040011""","Purchased Services Other Than Transportation","$312,858"
"Avon School District","=""0040011""","Special Education Tuition","$2,930,549"
"Avon School District","=""0040011""","Supplies","$50,219"
"Avon School District","=""0040011""","Property Services","$0"
"Avon School District","=""0040011""","Purchased Services For Transportation","$848,746"
"Avon School District","=""0040011""","Equipment","$18,538"
"Avon School District","=""0040011""","All Other Expenditures","$1,034"
"Avon School District","=""0040011""","Total","$11,916,626"
"Barkhamsted School District","=""0050011""","Teacher Salaries","$88,838"
"Barkhamsted School District","=""0050011""","Instructional Aide Salaries","$17,852"
"Barkhamsted School District","=""0050011""","Other Salaries","$90"
"Barkhamsted School District","=""0050011""","Employee Benefits","$0"
"Barkhamsted School District","=""0050011""","Purchased Services Other Than Transportation","$667,714"
"Barkhamsted School District","=""0050011""","Special Education Tuition","$101,349"
"Barkhamsted School District","=""0050011""","Supplies","$741"
"Barkhamsted School District","=""0050011""","Property Services","$0"
"Barkhamsted School District","=""0050011""","Purchased Services For Transportation","$29,659"
"Barkhamsted School District","=""0050011""","Equipment","$808"
"Barkhamsted School District","=""0050011""","All Other Expenditures","$155"
"Barkhamsted School District","=""0050011""","Total","$907,206"
"Berlin School District","=""0070011""","Teacher Salaries","$3,970,614"
"Berlin School District","=""0070011""","Instructional Aide Salaries","$1,186,856"
"Berlin School District","=""0070011""","Other Salaries","$836,045"
"Berlin School District","=""0070011""","Employee Benefits","$713,116"
"Berlin School District","=""0070011""","Purchased Services Other Than Transportation","$596,448"
