"Special Education Expenditures, 2018-19"
"All Districts"

"District","District Code","Description","Amount"
"Achievement First Bridgeport Academy District","=""2850013""","Teacher Salaries","$308,924"
"Achievement First Bridgeport Academy District","=""2850013""","Instructional Aide Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Other Salaries","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Employee Benefits","$57,581"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services Other Than Transportation","$88,271"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education Tuition","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Supplies","$4,242"
"Achievement First Bridgeport Academy District","=""2850013""","Property Services","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Purchased Services For Transportation","$0"
"Achievement First Bridgeport Academy District","=""2850013""","Equipment","$5,224"
"Achievement First Bridgeport Academy District","=""2850013""","All Other Expenditures","$708"
"Achievement First Bridgeport Academy District","=""2850013""","Total","$464,951"
"Achievement First Hartford Academy District","=""2880013""","Teacher Salaries","$1,527,278"
"Achievement First Hartford Academy District","=""2880013""","Instructional Aide Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Other Salaries","$0"
"Achievement First Hartford Academy District","=""2880013""","Employee Benefits","$293,431"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services Other Than Transportation","$458,680"
"Achievement First Hartford Academy District","=""2880013""","Special Education Tuition","$0"
"Achievement First Hartford Academy District","=""2880013""","Supplies","$24,046"
"Achievement First Hartford Academy District","=""2880013""","Property Services","$0"
"Achievement First Hartford Academy District","=""2880013""","Purchased Services For Transportation","$0"
"Achievement First Hartford Academy District","=""2880013""","Equipment","$18,747"
"Achievement First Hartford Academy District","=""2880013""","All Other Expenditures","$2,557"
"Achievement First Hartford Academy District","=""2880013""","Total","$2,324,739"
"Amistad Academy District","=""2790013""","Teacher Salaries","$1,064,902"
"Amistad Academy District","=""2790013""","Instructional Aide Salaries","$0"
"Amistad Academy District","=""2790013""","Other Salaries","$0"
"Amistad Academy District","=""2790013""","Employee Benefits","$214,060"
"Amistad Academy District","=""2790013""","Purchased Services Other Than Transportation","$252,976"
"Amistad Academy District","=""2790013""","Special Education Tuition","$0"
"Amistad Academy District","=""2790013""","Supplies","$13,054"
"Amistad Academy District","=""2790013""","Property Services","$0"
"Amistad Academy District","=""2790013""","Purchased Services For Transportation","$0"
"Amistad Academy District","=""2790013""","Equipment","$13,877"
"Amistad Academy District","=""2790013""","All Other Expenditures","$1,674"
"Amistad Academy District","=""2790013""","Total","$1,560,542"
"Andover School District","=""0010011""","Teacher Salaries","$208,048"
"Andover School District","=""0010011""","Instructional Aide Salaries","$118,922"
"Andover School District","=""0010011""","Other Salaries","$42,526"
"Andover School District","=""0010011""","Employee Benefits","$151,736"
"Andover School District","=""0010011""","Purchased Services Other Than Transportation","$47,778"
"Andover School District","=""0010011""","Special Education Tuition","$0"
"Andover School District","=""0010011""","Supplies","$8,736"
"Andover School District","=""0010011""","Property Services","$0"
"Andover School District","=""0010011""","Purchased Services For Transportation","$0"
"Andover School District","=""0010011""","Equipment","$0"
"Andover School District","=""0010011""","All Other Expenditures","$60"
"Andover School District","=""0010011""","Total","$577,806"
"Ansonia School District","=""0020011""","Teacher Salaries","$2,078,107"
"Ansonia School District","=""0020011""","Instructional Aide Salaries","$423,440"
"Ansonia School District","=""0020011""","Other Salaries","$725,003"
"Ansonia School District","=""0020011""","Employee Benefits","$507,647"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$2,286,714"
"Ansonia School District","=""0020011""","Special Education Tuition","$4,355,391"
"Ansonia School District","=""0020011""","Supplies","$62,467"
"Ansonia School District","=""0020011""","Property Services","$5,236"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,355,336"
"Ansonia School District","=""0020011""","Equipment","$4,208"
"Ansonia School District","=""0020011""","All Other Expenditures","$0"
"Ansonia School District","=""0020011""","Total","$11,803,550"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$8,810,176"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$6,759,853"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$14,472,855"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$7,579,488"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$1,494,982"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$2,026,560"
"Area Cooperative Educational Services","=""2440014""","Property Services","$1,426,437"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$31,198"
"Area Cooperative Educational Services","=""2440014""","Equipment","$386,362"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$7,078"
"Area Cooperative Educational Services","=""2440014""","Total","$42,994,990"
"Ashford School District","=""0030011""","Teacher Salaries","$479,022"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$471,067"
"Ashford School District","=""0030011""","Other Salaries","$208,952"
"Ashford School District","=""0030011""","Employee Benefits","$372,566"
"Ashford School District","=""0030011""","Purchased Services Other Than Transportation","$216,158"
"Ashford School District","=""0030011""","Special Education Tuition","$276,627"
"Ashford School District","=""0030011""","Supplies","$78,234"
"Ashford School District","=""0030011""","Property Services","$0"
"Ashford School District","=""0030011""","Purchased Services For Transportation","$0"
"Ashford School District","=""0030011""","Equipment","$3,747"
"Ashford School District","=""0030011""","All Other Expenditures","$160"
"Ashford School District","=""0030011""","Total","$2,106,533"
"Avon School District","=""0040011""","Teacher Salaries","$4,260,662"
"Avon School District","=""0040011""","Instructional Aide Salaries","$1,541,283"
"Avon School District","=""0040011""","Other Salaries","$561,708"
"Avon School District","=""0040011""","Employee Benefits","$1,653,544"
"Avon School District","=""0040011""","Purchased Services Other Than Transportation","$514,619"
"Avon School District","=""0040011""","Special Education Tuition","$3,379,468"
"Avon School District","=""0040011""","Supplies","$62,925"
"Avon School District","=""0040011""","Property Services","$0"
"Avon School District","=""0040011""","Purchased Services For Transportation","$778,595"
"Avon School District","=""0040011""","Equipment","$29,167"
"Avon School District","=""0040011""","All Other Expenditures","$870"
"Avon School District","=""0040011""","Total","$12,782,841"
"Barkhamsted School District","=""0050011""","Teacher Salaries","$96,241"
"Barkhamsted School District","=""0050011""","Instructional Aide Salaries","$19,035"
"Barkhamsted School District","=""0050011""","Other Salaries","$0"
"Barkhamsted School District","=""0050011""","Employee Benefits","$0"
"Barkhamsted School District","=""0050011""","Purchased Services Other Than Transportation","$679,086"
"Barkhamsted School District","=""0050011""","Special Education Tuition","$141,645"
"Barkhamsted School District","=""0050011""","Supplies","$1,413"
"Barkhamsted School District","=""0050011""","Property Services","$0"
"Barkhamsted School District","=""0050011""","Purchased Services For Transportation","$33,119"
"Barkhamsted School District","=""0050011""","Equipment","$0"
"Barkhamsted School District","=""0050011""","All Other Expenditures","$225"
"Barkhamsted School District","=""0050011""","Total","$970,764"
"Berlin School District","=""0070011""","Teacher Salaries","$4,269,232"
"Berlin School District","=""0070011""","Instructional Aide Salaries","$1,394,443"
"Berlin School District","=""0070011""","Other Salaries","$1,032,031"
"Berlin School District","=""0070011""","Employee Benefits","$750,773"
"Berlin School District","=""0070011""","Purchased Services Other Than Transportation","$379,919"
"Berlin School District","=""0070011""","Special Education Tuition","$1,714,800"
"Berlin School District","=""0070011""","Supplies","$94,702"
"Berlin School District","=""0070011""","Property Services","$0"
"Berlin School District","=""0070011""","Purchased Services For Transportation","$1,286,416"
"Berlin School District","=""0070011""","Equipment","$8,834"
"Berlin School District","=""0070011""","All Other Expenditures","$6,365"
"Berlin School District","=""0070011""","Total","$10,937,514"
"Bethany School District","=""0080011""","Teacher Salaries","$649,929"
"Bethany School District","=""0080011""","Instructional Aide Salaries","$169,655"
"Bethany School District","=""0080011""","Other Salaries","$236,906"
"Bethany School District","=""0080011""","Employee Benefits","$219,752"
"Bethany School District","=""0080011""","Purchased Services Other Than Transportation","$189,096"
"Bethany School District","=""0080011""","Special Education Tuition","$129,538"
"Bethany School District","=""0080011""","Supplies","$22,627"
"Bethany School District","=""0080011""","Property Services","$0"
"Bethany School District","=""0080011""","Purchased Services For Transportation","$0"
"Bethany School District","=""0080011""","Equipment","$121,523"
"Bethany School District","=""0080011""","All Other Expenditures","$166,877"
"Bethany School District","=""0080011""","Total","$1,905,902"
"Bethel School District","=""0090011""","Teacher Salaries","$3,225,179"
"Bethel School District","=""0090011""","Instructional Aide Salaries","$1,182,713"
"Bethel School District","=""0090011""","Other Salaries","$2,150,929"
"Bethel School District","=""0090011""","Employee Benefits","$1,854,919"
"Bethel School District","=""0090011""","Purchased Services Other Than Transportation","$376,602"
"Bethel School District","=""0090011""","Special Education Tuition","$1,582,697"
"Bethel School District","=""0090011""","Supplies","$44,957"
"Bethel School District","=""0090011""","Property Services","$218"
"Bethel School District","=""0090011""","Purchased Services For Transportation","$973,922"
"Bethel School District","=""0090011""","Equipment","$11,195"
"Bethel School District","=""0090011""","All Other Expenditures","$1,023"
"Bethel School District","=""0090011""","Total","$11,404,354"
"Bloomfield School District","=""0110011""","Teacher Salaries","$2,688,035"
"Bloomfield School District","=""0110011""","Instructional Aide Salaries","$983,147"
"Bloomfield School District","=""0110011""","Other Salaries","$902,738"
"Bloomfield School District","=""0110011""","Employee Benefits","$1,147,234"
"Bloomfield School District","=""0110011""","Purchased Services Other Than Transportation","$382,883"
"Bloomfield School District","=""0110011""","Special Education Tuition","$3,126,137"
"Bloomfield School District","=""0110011""","Supplies","$14,390"
"Bloomfield School District","=""0110011""","Property Services","$0"
"Bloomfield School District","=""0110011""","Purchased Services For Transportation","$822,623"
"Bloomfield School District","=""0110011""","Equipment","$429"
"Bloomfield School District","=""0110011""","All Other Expenditures","$300"
"Bloomfield School District","=""0110011""","Total","$10,067,917"
"Bolton School District","=""0120011""","Teacher Salaries","$938,901"
"Bolton School District","=""0120011""","Instructional Aide Salaries","$465,318"
"Bolton School District","=""0120011""","Other Salaries","$288,455"
"Bolton School District","=""0120011""","Employee Benefits","$537,665"
"Bolton School District","=""0120011""","Purchased Services Other Than Transportation","$64,514"
"Bolton School District","=""0120011""","Special Education Tuition","$273,238"
"Bolton School District","=""0120011""","Supplies","$39,769"
"Bolton School District","=""0120011""","Property Services","$0"
"Bolton School District","=""0120011""","Purchased Services For Transportation","$73,175"
"Bolton School District","=""0120011""","Equipment","$0"
"Bolton School District","=""0120011""","All Other Expenditures","$375"
"Bolton School District","=""0120011""","Total","$2,681,410"
"Booker T. Washington Academy District","=""2950013""","Teacher Salaries","$25,253"
