"Special Education Expenditures, 2021-22"
"All Districts"

"District","District Code","Description","Amount"
"Ansonia School District","=""0020011""","Other Salaries","$872,234"
"Ansonia School District","=""0020011""","Employee Benefits","$555,280"
"Ansonia School District","=""0020011""","Purchased Services Other Than Transportation","$797,299"
"Ansonia School District","=""0020011""","Special Education Tuition","$4,900,354"
"Ansonia School District","=""0020011""","Supplies","$106,873"
"Ansonia School District","=""0020011""","Property Services","$720,356"
"Ansonia School District","=""0020011""","Purchased Services For Transportation","$1,468,549"
"Ansonia School District","=""0020011""","Equipment","$7,029"
"Ansonia School District","=""0020011""","All Other Expenditures","$0"
"Ansonia School District","=""0020011""","Total","$11,976,735"
"Area Cooperative Educational Services","=""2440014""","Teacher Salaries","$8,591,992"
"Area Cooperative Educational Services","=""2440014""","Instructional Aide Salaries","$7,748,943"
"Area Cooperative Educational Services","=""2440014""","Other Salaries","$17,459,372"
"Area Cooperative Educational Services","=""2440014""","Employee Benefits","$12,158,812"
"Area Cooperative Educational Services","=""2440014""","Purchased Services Other Than Transportation","$607,430"
"Area Cooperative Educational Services","=""2440014""","Special Education Tuition","$0"
"Area Cooperative Educational Services","=""2440014""","Supplies","$1,797,205"
"Area Cooperative Educational Services","=""2440014""","Property Services","$2,584,479"
"Area Cooperative Educational Services","=""2440014""","Purchased Services For Transportation","$41,942"
"Area Cooperative Educational Services","=""2440014""","Equipment","$776,331"
"Area Cooperative Educational Services","=""2440014""","All Other Expenditures","$12,505"
"Area Cooperative Educational Services","=""2440014""","Total","$51,779,012"
"Ashford School District","=""0030011""","Teacher Salaries","$606,129"
"Ashford School District","=""0030011""","Instructional Aide Salaries","$393,259"
"Ashford School District","=""0030011""","Other Salaries","$206,236"
"Ashford School District","=""0030011""","Employee Benefits","$363,067"
"Ashford School District","=""0030011""","Purchased Services Other Than Transportation","$232,616"
"Ashford School District","=""0030011""","Special Education Tuition","$265,405"
"Ashford School District","=""0030011""","Supplies","$20,985"
"Ashford School District","=""0030011""","Property Services","$0"
"Ashford School District","=""0030011""","Purchased Services For Transportation","$0"
"Ashford School District","=""0030011""","Equipment","$4,365"
"Ashford School District","=""0030011""","All Other Expenditures","$450"
"Ashford School District","=""0030011""","Total","$2,092,511"
"Avon School District","=""0040011""","Teacher Salaries","$5,035,193"
"Avon School District","=""0040011""","Instructional Aide Salaries","$1,412,223"
"Avon School District","=""0040011""","Other Salaries","$656,344"
"Avon School District","=""0040011""","Employee Benefits","$1,881,150"
"Avon School District","=""0040011""","Purchased Services Other Than Transportation","$523,741"
"Avon School District","=""0040011""","Special Education Tuition","$3,614,049"
"Avon School District","=""0040011""","Supplies","$115,113"
"Avon School District","=""0040011""","Property Services","$455"
"Avon School District","=""0040011""","Purchased Services For Transportation","$864,661"
"Avon School District","=""0040011""","Equipment","$36,377"
"Avon School District","=""0040011""","All Other Expenditures","$700"
"Avon School District","=""0040011""","Total","$14,140,006"
"Barkhamsted School District","=""0050011""","Teacher Salaries","$104,864"
"Barkhamsted School District","=""0050011""","Instructional Aide Salaries","$0"
"Barkhamsted School District","=""0050011""","Other Salaries","$227"
"Barkhamsted School District","=""0050011""","Employee Benefits","$0"
"Barkhamsted School District","=""0050011""","Purchased Services Other Than Transportation","$740,841"
"Barkhamsted School District","=""0050011""","Special Education Tuition","$389,927"
"Barkhamsted School District","=""0050011""","Supplies","$706"
"Barkhamsted School District","=""0050011""","Property Services","$0"
"Barkhamsted School District","=""0050011""","Purchased Services For Transportation","$47,781"
"Barkhamsted School District","=""0050011""","Equipment","$509"
"Barkhamsted School District","=""0050011""","All Other Expenditures","$630"
"Barkhamsted School District","=""0050011""","Total","$1,285,485"
"Berlin School District","=""0070011""","Teacher Salaries","$4,551,863"
"Berlin School District","=""0070011""","Instructional Aide Salaries","$1,976,032"
"Berlin School District","=""0070011""","Other Salaries","$1,177,437"
"Berlin School District","=""0070011""","Employee Benefits","$1,502,866"
"Berlin School District","=""0070011""","Purchased Services Other Than Transportation","$666,850"
"Berlin School District","=""0070011""","Special Education Tuition","$3,275,982"
"Berlin School District","=""0070011""","Supplies","$64,244"
"Berlin School District","=""0070011""","Property Services","$0"
"Berlin School District","=""0070011""","Purchased Services For Transportation","$1,292,522"
"Berlin School District","=""0070011""","Equipment","$0"
"Berlin School District","=""0070011""","All Other Expenditures","$12,578"
"Berlin School District","=""0070011""","Total","$14,520,374"
"Bethany School District","=""0080011""","Teacher Salaries","$710,676"
"Bethany School District","=""0080011""","Instructional Aide Salaries","$409,586"
"Bethany School District","=""0080011""","Other Salaries","$219,882"
"Bethany School District","=""0080011""","Employee Benefits","$294,980"
"Bethany School District","=""0080011""","Purchased Services Other Than Transportation","$105,892"
"Bethany School District","=""0080011""","Special Education Tuition","$118,021"
"Bethany School District","=""0080011""","Supplies","$44,697"
"Bethany School District","=""0080011""","Property Services","$0"
"Bethany School District","=""0080011""","Purchased Services For Transportation","$0"
"Bethany School District","=""0080011""","Equipment","$59,534"
"Bethany School District","=""0080011""","All Other Expenditures","$138,301"
"Bethany School District","=""0080011""","Total","$2,101,569"
"Bethel School District","=""0090011""","Teacher Salaries","$3,201,986"
"Bethel School District","=""0090011""","Instructional Aide Salaries","$1,434,081"
"Bethel School District","=""0090011""","Other Salaries","$2,861,027"
"Bethel School District","=""0090011""","Employee Benefits","$2,128,393"
"Bethel School District","=""0090011""","Purchased Services Other Than Transportation","$521,814"
"Bethel School District","=""0090011""","Special Education Tuition","$1,639,365"
"Bethel School District","=""0090011""","Supplies","$58,598"
"Bethel School District","=""0090011""","Property Services","$140"
"Bethel School District","=""0090011""","Purchased Services For Transportation","$1,054,693"
"Bethel School District","=""0090011""","Equipment","$44,840"
"Bethel School District","=""0090011""","All Other Expenditures","$901"
"Bethel School District","=""0090011""","Total","$12,945,837"
"Bloomfield School District","=""0110011""","Teacher Salaries","$3,399,075"
"Bloomfield School District","=""0110011""","Instructional Aide Salaries","$1,359,899"
"Bloomfield School District","=""0110011""","Other Salaries","$1,297,098"
"Bloomfield School District","=""0110011""","Employee Benefits","$1,352,523"
"Bloomfield School District","=""0110011""","Purchased Services Other Than Transportation","$488,677"
"Bloomfield School District","=""0110011""","Special Education Tuition","$3,743,246"
"Bloomfield School District","=""0110011""","Supplies","$37,623"
"Bloomfield School District","=""0110011""","Property Services","$0"
"Bloomfield School District","=""0110011""","Purchased Services For Transportation","$1,159,055"
"Bloomfield School District","=""0110011""","Equipment","$4,651"
"Bloomfield School District","=""0110011""","All Other Expenditures","$200"
"Bloomfield School District","=""0110011""","Total","$12,842,046"
"Bolton School District","=""0120011""","Teacher Salaries","$908,296"
"Bolton School District","=""0120011""","Instructional Aide Salaries","$404,417"
"Bolton School District","=""0120011""","Other Salaries","$280,463"
"Bolton School District","=""0120011""","Employee Benefits","$520,763"
"Bolton School District","=""0120011""","Purchased Services Other Than Transportation","$126,184"
"Bolton School District","=""0120011""","Special Education Tuition","$146,530"
"Bolton School District","=""0120011""","Supplies","$64,951"
"Bolton School District","=""0120011""","Property Services","$0"
"Bolton School District","=""0120011""","Purchased Services For Transportation","$38,103"
"Bolton School District","=""0120011""","Equipment","$0"
"Bolton School District","=""0120011""","All Other Expenditures","$440"
"Bolton School District","=""0120011""","Total","$2,490,148"
"Booker T. Washington Academy District","=""2950013""","Teacher Salaries","$170,203"
"Booker T. Washington Academy District","=""2950013""","Instructional Aide Salaries","$0"
"Booker T. Washington Academy District","=""2950013""","Other Salaries","$123,360"
"Booker T. Washington Academy District","=""2950013""","Employee Benefits","$16,931"
"Booker T. Washington Academy District","=""2950013""","Purchased Services Other Than Transportation","$0"
"Booker T. Washington Academy District","=""2950013""","Special Education Tuition","$0"
"Booker T. Washington Academy District","=""2950013""","Supplies","$0"
"Booker T. Washington Academy District","=""2950013""","Property Services","$0"
"Booker T. Washington Academy District","=""2950013""","Purchased Services For Transportation","$0"
"Booker T. Washington Academy District","=""2950013""","Equipment","$0"
"Booker T. Washington Academy District","=""2950013""","All Other Expenditures","$0"
"Booker T. Washington Academy District","=""2950013""","Total","$310,493"
"Bozrah School District","=""0130011""","Teacher Salaries","$461,361"
"Bozrah School District","=""0130011""","Instructional Aide Salaries","$207,551"
"Bozrah School District","=""0130011""","Other Salaries","$237,310"
"Bozrah School District","=""0130011""","Employee Benefits","$300,093"
"Bozrah School District","=""0130011""","Purchased Services Other Than Transportation","$76,989"
"Bozrah School District","=""0130011""","Special Education Tuition","$794,128"
"Bozrah School District","=""0130011""","Supplies","$5,003"
"Bozrah School District","=""0130011""","Property Services","$12"
"Bozrah School District","=""0130011""","Purchased Services For Transportation","$99,432"
"Bozrah School District","=""0130011""","Equipment","$8,302"
"Bozrah School District","=""0130011""","All Other Expenditures","$250"
"Bozrah School District","=""0130011""","Total","$2,190,430"
"Branford School District","=""0140011""","Teacher Salaries","$4,373,803"
"Branford School District","=""0140011""","Instructional Aide Salaries","$1,612,770"
"Branford School District","=""0140011""","Other Salaries","$407,127"
"Branford School District","=""0140011""","Employee Benefits","$1,925,936"
"Branford School District","=""0140011""","Purchased Services Other Than Transportation","$678,997"
"Branford School District","=""0140011""","Special Education Tuition","$3,172,570"
"Branford School District","=""0140011""","Supplies","$125,950"
"Branford School District","=""0140011""","Property Services","$0"
"Branford School District","=""0140011""","Purchased Services For Transportation","$822,780"
"Branford School District","=""0140011""","Equipment","$49,043"
"Branford School District","=""0140011""","All Other Expenditures","$250"
"Branford School District","=""0140011""","Total","$13,169,224"
"Brass City Charter School District","=""2900013""","Teacher Salaries","$161,715"
"Brass City Charter School District","=""2900013""","Instructional Aide Salaries","$122,552"
"Brass City Charter School District","=""2900013""","Other Salaries","$0"
"Brass City Charter School District","=""2900013""","Employee Benefits","$52,021"
"Brass City Charter School District","=""2900013""","Purchased Services Other Than Transportation","$59,785"
"Brass City Charter School District","=""2900013""","Special Education Tuition","$0"
"Brass City Charter School District","=""2900013""","Supplies","$0"
"Brass City Charter School District","=""2900013""","Property Services","$0"
"Brass City Charter School District","=""2900013""","Purchased Services For Transportation","$0"
"Brass City Charter School District","=""2900013""","Equipment","$0"
"Brass City Charter School District","=""2900013""","All Other Expenditures","$0"
"Brass City Charter School District","=""2900013""","Total","$396,073"
"Bridgeport School District","=""0150011""","Teacher Salaries","$23,109,990"
"Bridgeport School District","=""0150011""","Instructional Aide Salaries","$10,015,478"
"Bridgeport School District","=""0150011""","Other Salaries","$5,314,653"
"Bridgeport School District","=""0150011""","Employee Benefits","$11,975,401"
"Bridgeport School District","=""0150011""","Purchased Services Other Than Transportation","$3,818,151"
"Bridgeport School District","=""0150011""","Special Education Tuition","$26,399,309"
"Bridgeport School District","=""0150011""","Supplies","$359,789"
"Bridgeport School District","=""0150011""","Property Services","$306,648"
"Bridgeport School District","=""0150011""","Purchased Services For Transportation","$14,508,591"
"Bridgeport School District","=""0150011""","Equipment","$2,973"
"Bridgeport School District","=""0150011""","All Other Expenditures","$0"
"Bridgeport School District","=""0150011""","Total","$95,810,983"
"Bristol School District","=""0170011""","Teacher Salaries","$10,260,362"
"Bristol School District","=""0170011""","Instructional Aide Salaries","$3,570,647"
"Bristol School District","=""0170011""","Other Salaries","$2,749,055"
"Bristol School District","=""0170011""","Employee Benefits","$5,084,623"
"Bristol School District","=""0170011""","Purchased Services Other Than Transportation","$3,595,473"
"Bristol School District","=""0170011""","Special Education Tuition","$15,315,786"
"Bristol School District","=""0170011""","Supplies","$155,548"
"Bristol School District","=""0170011""","Property Services","$32,488"
"Bristol School District","=""0170011""","Purchased Services For Transportation","$4,685,518"
"Bristol School District","=""0170011""","Equipment","$71,016"
"Bristol School District","=""0170011""","All Other Expenditures","$2,408"
"Bristol School District","=""0170011""","Total","$45,522,926"
"Brookfield School District","=""0180011""","Teacher Salaries","$3,772,079"
"Brookfield School District","=""0180011""","Instructional Aide Salaries","$1,715,101"
"Brookfield School District","=""0180011""","Other Salaries","$908,854"
"Brookfield School District","=""0180011""","Employee Benefits","$1,575,851"
"Brookfield School District","=""0180011""","Purchased Services Other Than Transportation","$594,815"
"Brookfield School District","=""0180011""","Special Education Tuition","$2,782,590"
"Brookfield School District","=""0180011""","Supplies","$60,313"
"Brookfield School District","=""0180011""","Property Services","$3,102"
"Brookfield School District","=""0180011""","Purchased Services For Transportation","$950,996"
"Brookfield School District","=""0180011""","Equipment","$29,534"
"Brookfield School District","=""0180011""","All Other Expenditures","$2,523"
"Brookfield School District","=""0180011""","Total","$12,395,757"
"Brooklyn School District","=""0190011""","Teacher Salaries","$1,550,630"
"Brooklyn School District","=""0190011""","Instructional Aide Salaries","$1,249,458"
"Brooklyn School District","=""0190011""","Other Salaries","$330,954"
"Brooklyn School District","=""0190011""","Employee Benefits","$778,836"
"Brooklyn School District","=""0190011""","Purchased Services Other Than Transportation","$223,719"
"Brooklyn School District","=""0190011""","Special Education Tuition","$1,942,315"
"Brooklyn School District","=""0190011""","Supplies","$22,069"
"Brooklyn School District","=""0190011""","Property Services","$0"
"Brooklyn School District","=""0190011""","Purchased Services For Transportation","$209,168"
"Brooklyn School District","=""0190011""","Equipment","$0"
"Brooklyn School District","=""0190011""","All Other Expenditures","$5,176"
"Brooklyn School District","=""0190011""","Total","$6,312,323"
"Canaan School District","=""0210011""","Teacher Salaries","$190,382"
"Canaan School District","=""0210011""","Instructional Aide Salaries","$0"
"Canaan School District","=""0210011""","Other Salaries","$41,483"
"Canaan School District","=""0210011""","Employee Benefits","$75,218"
"Canaan School District","=""0210011""","Purchased Services Other Than Transportation","$26,825"
"Canaan School District","=""0210011""","Special Education Tuition","$28,733"
"Canaan School District","=""0210011""","Supplies","$1,318"
"Canaan School District","=""0210011""","Property Services","$0"
"Canaan School District","=""0210011""","Purchased Services For Transportation","$28,510"
"Canaan School District","=""0210011""","Equipment","$447"
"Canaan School District","=""0210011""","All Other Expenditures","$0"
"Canaan School District","=""0210011""","Total","$392,915"
"Canterbury School District","=""0220011""","Teacher Salaries","$382,498"
"Canterbury School District","=""0220011""","Instructional Aide Salaries","$369,873"
"Canterbury School District","=""0220011""","Other Salaries","$197,132"
"Canterbury School District","=""0220011""","Employee Benefits","$219,688"
"Canterbury School District","=""0220011""","Purchased Services Other Than Transportation","$178,426"
"Canterbury School District","=""0220011""","Special Education Tuition","$774,323"
"Canterbury School District","=""0220011""","Supplies","$25,416"
"Canterbury School District","=""0220011""","Property Services","$486"
"Canterbury School District","=""0220011""","Purchased Services For Transportation","$62,544"
"Canterbury School District","=""0220011""","Equipment","$27,420"
"Canterbury School District","=""0220011""","All Other Expenditures","$258"
"Canterbury School District","=""0220011""","Total","$2,238,064"
"Canton School District","=""0230011""","Teacher Salaries","$2,534,680"
"Canton School District","=""0230011""","Instructional Aide Salaries","$879,719"
"Canton School District","=""0230011""","Other Salaries","$115,927"
"Canton School District","=""0230011""","Employee Benefits","$1,008,247"
"Canton School District","=""0230011""","Purchased Services Other Than Transportation","$644,864"
"Canton School District","=""0230011""","Special Education Tuition","$1,957,631"
"Canton School District","=""0230011""","Supplies","$24,642"
"Canton School District","=""0230011""","Property Services","$0"
"Canton School District","=""0230011""","Purchased Services For Transportation","$504,646"
"Canton School District","=""0230011""","Equipment","$0"
"Canton School District","=""0230011""","All Other Expenditures","$9,316"
"Canton School District","=""0230011""","Total","$7,679,673"
"Capital Preparatory Harbor School District","=""2970013""","Teacher Salaries","$439,938"
"Capital Preparatory Harbor School District","=""2970013""","Instructional Aide Salaries","$74,658"
"Capital Preparatory Harbor School District","=""2970013""","Other Salaries","$0"
"Capital Preparatory Harbor School District","=""2970013""","Employee Benefits","$94,029"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services Other Than Transportation","$0"
"Capital Preparatory Harbor School District","=""2970013""","Special Education Tuition","$0"
"Capital Preparatory Harbor School District","=""2970013""","Supplies","$0"
"Capital Preparatory Harbor School District","=""2970013""","Property Services","$0"
"Capital Preparatory Harbor School District","=""2970013""","Purchased Services For Transportation","$20,960"
"Capital Preparatory Harbor School District","=""2970013""","Equipment","$0"
"Capital Preparatory Harbor School District","=""2970013""","All Other Expenditures","$0"
"Capital Preparatory Harbor School District","=""2970013""","Total","$629,585"
"Capitol Region Education Council","=""2410014""","Teacher Salaries","$21,148,196"
"Capitol Region Education Council","=""2410014""","Instructional Aide Salaries","$8,097,941"
"Capitol Region Education Council","=""2410014""","Other Salaries","$9,112,647"
"Capitol Region Education Council","=""2410014""","Employee Benefits","$10,376,675"
"Capitol Region Education Council","=""2410014""","Purchased Services Other Than Transportation","$3,730,490"
"Capitol Region Education Council","=""2410014""","Special Education Tuition","$0"
"Capitol Region Education Council","=""2410014""","Supplies","$730,560"
"Capitol Region Education Council","=""2410014""","Property Services","$1,882,393"
"Capitol Region Education Council","=""2410014""","Purchased Services For Transportation","$0"
"Capitol Region Education Council","=""2410014""","Equipment","$37,495"
"Capitol Region Education Council","=""2410014""","All Other Expenditures","$6,083"
"Capitol Region Education Council","=""2410014""","Total","$55,122,481"
"Chaplin School District","=""0240011""","Teacher Salaries","$348,056"
"Chaplin School District","=""0240011""","Instructional Aide Salaries","$144,667"
"Chaplin School District","=""0240011""","Other Salaries","$0"
"Chaplin School District","=""0240011""","Employee Benefits","$65,242"
"Chaplin School District","=""0240011""","Purchased Services Other Than Transportation","$118,370"
"Chaplin School District","=""0240011""","Special Education Tuition","$135,458"
"Chaplin School District","=""0240011""","Supplies","$3,209"
"Chaplin School District","=""0240011""","Property Services","$0"
"Chaplin School District","=""0240011""","Purchased Services For Transportation","$48,894"
"Chaplin School District","=""0240011""","Equipment","$1,688"
"Chaplin School District","=""0240011""","All Other Expenditures","$150"
"Chaplin School District","=""0240011""","Total","$865,733"
"Cheshire School District","=""0250011""","Teacher Salaries","$7,143,151"
"Cheshire School District","=""0250011""","Instructional Aide Salaries","$2,830,498"
"Cheshire School District","=""0250011""","Other Salaries","$2,081,225"
"Cheshire School District","=""0250011""","Employee Benefits","$3,713,983"
"Cheshire School District","=""0250011""","Purchased Services Other Than Transportation","$836,378"
"Cheshire School District","=""0250011""","Special Education Tuition","$1,936,382"
"Cheshire School District","=""0250011""","Supplies","$270,143"
"Cheshire School District","=""0250011""","Property Services","$84,915"
"Cheshire School District","=""0250011""","Purchased Services For Transportation","$893,604"
"Cheshire School District","=""0250011""","Equipment","$0"
"Cheshire School District","=""0250011""","All Other Expenditures","$1,200"
"Cheshire School District","=""0250011""","Total","$19,791,479"
"Chester School District","=""0260011""","Teacher Salaries","$264,558"
"Chester School District","=""0260011""","Instructional Aide Salaries","$304,478"
"Chester School District","=""0260011""","Other Salaries","$64,451"
"Chester School District","=""0260011""","Employee Benefits","$223,846"
"Chester School District","=""0260011""","Purchased Services Other Than Transportation","$3,309"
"Chester School District","=""0260011""","Special Education Tuition","$0"
"Chester School District","=""0260011""","Supplies","$5,670"
"Chester School District","=""0260011""","Property Services","$736"
"Chester School District","=""0260011""","Purchased Services For Transportation","$81,546"
"Chester School District","=""0260011""","Equipment","$0"
"Chester School District","=""0260011""","All Other Expenditures","$0"
"Chester School District","=""0260011""","Total","$948,596"
"Clinton School District","=""0270011""","Teacher Salaries","$3,253,951"
"Clinton School District","=""0270011""","Instructional Aide Salaries","$1,228,459"
"Clinton School District","=""0270011""","Other Salaries","$364,322"
"Clinton School District","=""0270011""","Employee Benefits","$1,108,793"
"Clinton School District","=""0270011""","Purchased Services Other Than Transportation","$348,353"
"Clinton School District","=""0270011""","Special Education Tuition","$1,511,938"
"Clinton School District","=""0270011""","Supplies","$27,989"
"Clinton School District","=""0270011""","Property Services","$0"
"Clinton School District","=""0270011""","Purchased Services For Transportation","$745,993"
"Clinton School District","=""0270011""","Equipment","$0"
"Clinton School District","=""0270011""","All Other Expenditures","$880"
"Clinton School District","=""0270011""","Total","$8,590,678"
"Colchester School District","=""0280011""","Teacher Salaries","$3,563,411"
"Colchester School District","=""0280011""","Instructional Aide Salaries","$1,548,591"
"Colchester School District","=""0280011""","Other Salaries","$444,440"
"Colchester School District","=""0280011""","Employee Benefits","$1,229,499"
"Colchester School District","=""0280011""","Purchased Services Other Than Transportation","$438,923"
"Colchester School District","=""0280011""","Special Education Tuition","$1,564,481"
"Colchester School District","=""0280011""","Supplies","$56,860"
"Colchester School District","=""0280011""","Property Services","$0"
"Colchester School District","=""0280011""","Purchased Services For Transportation","$1,010,710"
"Colchester School District","=""0280011""","Equipment","$0"
"Colchester School District","=""0280011""","All Other Expenditures","$1,049"
"Colchester School District","=""0280011""","Total","$9,857,964"
"Colebrook School District","=""0290011""","Teacher Salaries","$63,209"
"Colebrook School District","=""0290011""","Instructional Aide Salaries","$45,347"
"Colebrook School District","=""0290011""","Other Salaries","$0"
"Colebrook School District","=""0290011""","Employee Benefits","$4,379"
"Colebrook School District","=""0290011""","Purchased Services Other Than Transportation","$261,107"
"Colebrook School District","=""0290011""","Special Education Tuition","$0"
"Colebrook School District","=""0290011""","Supplies","$942"
"Colebrook School District","=""0290011""","Property Services","$0"
"Colebrook School District","=""0290011""","Purchased Services For Transportation","$40,079"
"Colebrook School District","=""0290011""","Equipment","$0"
"Colebrook School District","=""0290011""","All Other Expenditures","$32,891"
"Colebrook School District","=""0290011""","Total","$447,953"
"Columbia School District","=""0300011""","Teacher Salaries","$929,925"
"Columbia School District","=""0300011""","Instructional Aide Salaries","$424,299"
"Columbia School District","=""0300011""","Other Salaries","$308,106"
"Columbia School District","=""0300011""","Employee Benefits","$473,706"
"Columbia School District","=""0300011""","Purchased Services Other Than Transportation","$195,580"
"Columbia School District","=""0300011""","Special Education Tuition","$630,867"
"Columbia School District","=""0300011""","Supplies","$30,620"
"Columbia School District","=""0300011""","Property Services","$0"
"Columbia School District","=""0300011""","Purchased Services For Transportation","$178,513"
"Columbia School District","=""0300011""","Equipment","$11,045"
"Columbia School District","=""0300011""","All Other Expenditures","$0"
"Columbia School District","=""0300011""","Total","$3,182,660"
"Common Ground High School District","=""2680013""","Teacher Salaries","$179,521"
"Common Ground High School District","=""2680013""","Instructional Aide Salaries","$65,791"
"Common Ground High School District","=""2680013""","Other Salaries","$183,137"
"Common Ground High School District","=""2680013""","Employee Benefits","$77,393"
"Common Ground High School District","=""2680013""","Purchased Services Other Than Transportation","$43,041"
"Common Ground High School District","=""2680013""","Special Education Tuition","$0"
"Common Ground High School District","=""2680013""","Supplies","$48,020"
"Common Ground High School District","=""2680013""","Property Services","$0"
"Common Ground High School District","=""2680013""","Purchased Services For Transportation","$0"
"Common Ground High School District","=""2680013""","Equipment","$0"
"Common Ground High School District","=""2680013""","All Other Expenditures","$0"
"Common Ground High School District","=""2680013""","Total","$596,904"
"Connecticut Technical Education and Career System","=""9000016""","Teacher Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Instructional Aide Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Other Salaries","$0"
"Connecticut Technical Education and Career System","=""9000016""","Employee Benefits","$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services Other Than Transportation","$0"
"Connecticut Technical Education and Career System","=""9000016""","Special Education Tuition","$0"
"Connecticut Technical Education and Career System","=""9000016""","Supplies","$0"
"Connecticut Technical Education and Career System","=""9000016""","Property Services","$0"
"Connecticut Technical Education and Career System","=""9000016""","Purchased Services For Transportation","$0"
"Connecticut Technical Education and Career System","=""9000016""","Equipment","$0"
"Connecticut Technical Education and Career System","=""9000016""","All Other Expenditures","$0"
"Connecticut Technical Education and Career System","=""9000016""","Total","$0"
"Cooperative Educational Services","=""2430014""","Teacher Salaries","$7,516,698"
"Cooperative Educational Services","=""2430014""","Instructional Aide Salaries","$4,912,329"
"Cooperative Educational Services","=""2430014""","Other Salaries","$3,652,659"
"Cooperative Educational Services","=""2430014""","Employee Benefits","$3,933,462"
"Cooperative Educational Services","=""2430014""","Purchased Services Other Than Transportation","$5,376,354"
"Cooperative Educational Services","=""2430014""","Special Education Tuition","$0"
"Cooperative Educational Services","=""2430014""","Supplies","$711,021"
"Cooperative Educational Services","=""2430014""","Property Services","$945,063"
"Cooperative Educational Services","=""2430014""","Purchased Services For Transportation","$0"
"Cooperative Educational Services","=""2430014""","Equipment","$214,655"
"Cooperative Educational Services","=""2430014""","All Other Expenditures","$18,396"
"Cooperative Educational Services","=""2430014""","Total","$27,280,637"
"Cornwall School District","=""0310011""","Teacher Salaries","$259,473"
"Cornwall School District","=""0310011""","Instructional Aide Salaries","$0"
"Cornwall School District","=""0310011""","Other Salaries","$56,229"
