District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2021,60.0,60.0,100.0
Achievement First Hartford Academy District,2021,44.0,44.0,100.0
Amistad Academy District,2021,61.0,59.0,96.7
Ansonia School District,2021,119.0,95.0,79.8
Avon School District,2021,255.0,248.0,97.3
Berlin School District,2021,247.0,233.0,94.3
Bethel School District,2021,243.0,232.0,95.5
Bloomfield School District,2021,163.0,154.0,94.5
Bolton School District,2021,58.0,56.0,96.6
Branford School District,2021,198.0,187.0,94.4
Bridgeport School District,2021,1308.0,1053.0,80.5
Bristol School District,2021,599.0,551.0,92.0
Brookfield School District,2021,216.0,210.0,97.2
Canton School District,2021,125.0,120.0,96.0
Capital Preparatory Harbor School District,2021,50.0,49.0,98.0
Capitol Region Education Council,2021,462.0,426.0,92.2
Cheshire School District,2021,362.0,355.0,98.1
Clinton School District,2021,138.0,132.0,95.7
Colchester School District,2021,202.0,189.0,93.6
Common Ground High School District,2021,57.0,51.0,89.5
Connecticut Technical Education and Career System,2021,2547.0,2485.0,97.6
Coventry School District,2021,112.0,108.0,96.4
Cromwell School District,2021,136.0,134.0,98.5
Danbury School District,2021,854.0,747.0,87.5
Darien School District,2021,311.0,309.0,99.4
Department of Mental Health and Addiction Services,2021,,,
Derby School District,2021,92.0,74.0,80.4
East Granby School District,2021,67.0,65.0,97.0
East Haddam School District,2021,93.0,88.0,94.6
East Hampton School District,2021,131.0,127.0,96.9
East Hartford School District,2021,546.0,513.0,94.0
East Haven School District,2021,235.0,202.0,86.0
East Lyme School District,2021,262.0,256.0,97.7
East Windsor School District,2021,65.0,54.0,83.1
Eastern Connecticut Regional Educational Service Center (EASTCONN),2021,76.0,66.0,86.8
Ellington School District,2021,195.0,190.0,97.4
Elm City College Preparatory School District,2021,34.0,31.0,91.2
Enfield School District,2021,416.0,384.0,92.3
Explorations District,2021,19.0,14.0,
Fairfield School District,2021,746.0,726.0,97.3
Farmington School District,2021,318.0,312.0,98.1
